Date,Open,High,Low,Close,"Trend ‌Supertrend‌ (7,3)"
Thu May 09 2024 14:40:00 GMT+0530 (India Standard Time),22012.45,22018.7,21968.05,21972.4,22082.41
Thu May 09 2024 14:45:00 GMT+0530 (India Standard Time),21972.75,21999.45,21970.5,21993.2,22073.7
Thu May 09 2024 14:50:00 GMT+0530 (India Standard Time),21993.15,22022.85,21993.15,22008.65,22073.7
Thu May 09 2024 14:55:00 GMT+0530 (India Standard Time),22008.55,22016.1,21988.05,21991.9,22073.7
Thu May 09 2024 15:00:00 GMT+0530 (India Standard Time),21991.9,21994.35,21964.85,21971.95,22067.77
Thu May 09 2024 15:05:00 GMT+0530 (India Standard Time),21969.9,21976.8,21952.15,21968.35,22050.62
Thu May 09 2024 15:10:00 GMT+0530 (India Standard Time),21969.75,21976.55,21942.5,21943,22047.95
Thu May 09 2024 15:15:00 GMT+0530 (India Standard Time),21943.2,21948,21932.4,21947.2,22022.68
Thu May 09 2024 15:20:00 GMT+0530 (India Standard Time),21947.95,21953.05,21937.35,21942.25,22022.63
Thu May 09 2024 15:25:00 GMT+0530 (India Standard Time),21942,21968.15,21941.5,21968.15,22022.63
Fri May 10 2024 09:15:00 GMT+0530 (India Standard Time),21990.95,22016.1,21970.45,21970.45,22022.63
Fri May 10 2024 09:20:00 GMT+0530 (India Standard Time),21970.45,22008.3,21950.3,22008.3,22022.63
Fri May 10 2024 09:25:00 GMT+0530 (India Standard Time),22008.85,22050.55,22008.85,22050.55,21926.2
Fri May 10 2024 09:30:00 GMT+0530 (India Standard Time),22049.1,22056.1,22025.35,22029.75,21938.83
Fri May 10 2024 09:35:00 GMT+0530 (India Standard Time),22028.85,22047.55,22015.5,22019.85,21938.83
Fri May 10 2024 09:40:00 GMT+0530 (India Standard Time),22019.25,22071.45,22009.15,22068.85,21938.83
Fri May 10 2024 09:45:00 GMT+0530 (India Standard Time),22069.6,22076.1,22053.55,22066.5,21958.02
Fri May 10 2024 09:50:00 GMT+0530 (India Standard Time),22066.6,22100.25,22053.7,22096,21965.48
Fri May 10 2024 09:55:00 GMT+0530 (India Standard Time),22095.9,22114.25,22089.7,22108.75,21995.88
Fri May 10 2024 10:00:00 GMT+0530 (India Standard Time),22108.25,22116.1,22094.75,22102.5,22005.34
Fri May 10 2024 10:05:00 GMT+0530 (India Standard Time),22103.4,22120.25,22097.15,22103.3,22013.01
Fri May 10 2024 10:10:00 GMT+0530 (India Standard Time),22103.35,22116.45,22095.95,22110.1,22015.4
Fri May 10 2024 10:15:00 GMT+0530 (India Standard Time),22109.5,22131.3,22102.6,22121.95,22026.82
Fri May 10 2024 10:20:00 GMT+0530 (India Standard Time),22121.75,22121.95,22078.65,22095.9,22026.82
Fri May 10 2024 10:25:00 GMT+0530 (India Standard Time),22095.65,22104.55,22084.65,22088.3,22026.82
Fri May 10 2024 10:30:00 GMT+0530 (India Standard Time),22088.9,22106.95,22078.65,22105.1,22026.82
Fri May 10 2024 10:35:00 GMT+0530 (India Standard Time),22104.6,22110.65,22095.3,22098.3,22026.82
Fri May 10 2024 10:40:00 GMT+0530 (India Standard Time),22098.1,22099.8,22085.65,22090.15,22026.82
Fri May 10 2024 10:45:00 GMT+0530 (India Standard Time),22090.15,22091.1,22047.2,22055.75,22026.82
Fri May 10 2024 10:50:00 GMT+0530 (India Standard Time),22056,22061.7,22015.65,22020,22131.62
Fri May 10 2024 10:55:00 GMT+0530 (India Standard Time),22020.2,22037.05,22012.95,22027.05,22115
Fri May 10 2024 11:00:00 GMT+0530 (India Standard Time),22027.1,22034.7,22018,22031.95,22110.65
Fri May 10 2024 11:05:00 GMT+0530 (India Standard Time),22032.5,22063.5,22032,22055.2,22110.65
Fri May 10 2024 11:10:00 GMT+0530 (India Standard Time),22056.25,22062.35,22051,22056.3,22110.65
Fri May 10 2024 11:15:00 GMT+0530 (India Standard Time),22056.15,22075.15,22049.95,22075.15,22110.65
Fri May 10 2024 11:20:00 GMT+0530 (India Standard Time),22075.3,22089.25,22069.7,22088.4,22110.65
Fri May 10 2024 11:25:00 GMT+0530 (India Standard Time),22087.9,22093.75,22068.8,22075.35,22110.65
Fri May 10 2024 11:30:00 GMT+0530 (India Standard Time),22075.15,22075.8,22060.45,22063.9,22110.65
Fri May 10 2024 11:35:00 GMT+0530 (India Standard Time),22063.5,22067.95,22046.2,22053.4,22110.65
Fri May 10 2024 11:40:00 GMT+0530 (India Standard Time),22054,22059.55,22041.25,22057.4,22110.65
Fri May 10 2024 11:45:00 GMT+0530 (India Standard Time),22057.5,22059.65,22033.6,22036.4,22110.65
Fri May 10 2024 11:50:00 GMT+0530 (India Standard Time),22036.05,22046,22025.45,22029.85,22104.06
Fri May 10 2024 11:55:00 GMT+0530 (India Standard Time),22029.65,22035.15,22015.45,22029.2,22092.32
Fri May 10 2024 12:00:00 GMT+0530 (India Standard Time),22028.6,22046.65,22028.6,22036.1,22092.32
Fri May 10 2024 12:05:00 GMT+0530 (India Standard Time),22035.55,22050.5,22030.05,22047.4,22092.32
Fri May 10 2024 12:10:00 GMT+0530 (India Standard Time),22046.35,22052.2,22027.1,22032.3,22092.32
Fri May 10 2024 12:15:00 GMT+0530 (India Standard Time),22032.5,22038.9,22015.4,22023.7,22092.32
Fri May 10 2024 12:20:00 GMT+0530 (India Standard Time),22023.9,22035.9,22020.55,22020.9,22092.04
Fri May 10 2024 12:25:00 GMT+0530 (India Standard Time),22020.4,22022.5,22000.3,22018.2,22075.61
Fri May 10 2024 12:30:00 GMT+0530 (India Standard Time),22017.95,22041,22017.95,22032.5,22075.61
Fri May 10 2024 12:35:00 GMT+0530 (India Standard Time),22032.65,22042.2,22026.1,22027.2,22075.61
Fri May 10 2024 12:40:00 GMT+0530 (India Standard Time),22025.85,22033.4,22022.5,22024.75,22075.61
Fri May 10 2024 12:45:00 GMT+0530 (India Standard Time),22024.5,22027.3,22001.6,22013.6,22075.42
Fri May 10 2024 12:50:00 GMT+0530 (India Standard Time),22013.5,22021.45,22004.7,22006.4,22072.51
Fri May 10 2024 12:55:00 GMT+0530 (India Standard Time),22006.45,22013.6,21991.7,21994.7,22062.98
Fri May 10 2024 13:00:00 GMT+0530 (India Standard Time),21995.35,22011.2,21985.15,22004.7,22061.05
Fri May 10 2024 13:05:00 GMT+0530 (India Standard Time),22004.35,22018.85,22000.2,22000.95,22061.05
Fri May 10 2024 13:10:00 GMT+0530 (India Standard Time),22000.8,22005.45,21986.55,21992.5,22057.15
Fri May 10 2024 13:15:00 GMT+0530 (India Standard Time),21992.35,22002.4,21985.2,21988.2,22053.58
Fri May 10 2024 13:20:00 GMT+0530 (India Standard Time),21987.55,22003.95,21985.95,21996.2,22053.58
Fri May 10 2024 13:25:00 GMT+0530 (India Standard Time),21996.15,22017.95,21993.75,22016.5,22053.58
Fri May 10 2024 13:30:00 GMT+0530 (India Standard Time),22015.8,22038.45,22011.5,22023.75,22053.58
Fri May 10 2024 13:35:00 GMT+0530 (India Standard Time),22025.55,22028,22013.5,22025.05,22053.58
Fri May 10 2024 13:40:00 GMT+0530 (India Standard Time),22024.55,22037.3,22024.1,22035.05,22053.58
Fri May 10 2024 13:45:00 GMT+0530 (India Standard Time),22035.35,22041.1,22026.2,22039.5,22053.58
Fri May 10 2024 13:50:00 GMT+0530 (India Standard Time),22039.9,22060.5,22037.55,22054.7,21991.23
Fri May 10 2024 13:55:00 GMT+0530 (India Standard Time),22054.5,22062.4,22046.45,22059.95,21998.05
Fri May 10 2024 14:00:00 GMT+0530 (India Standard Time),22059.7,22061.9,22033.45,22034.6,21998.05
Fri May 10 2024 14:05:00 GMT+0530 (India Standard Time),22034.4,22042.3,22025.95,22036.4,21998.05
Fri May 10 2024 14:10:00 GMT+0530 (India Standard Time),22036.4,22037.15,22018.5,22027.05,21998.05
Fri May 10 2024 14:15:00 GMT+0530 (India Standard Time),22026.85,22036.8,22015.6,22027.45,21998.05
Fri May 10 2024 14:20:00 GMT+0530 (India Standard Time),22027.25,22032.05,22018.8,22022.7,21998.05
Fri May 10 2024 14:25:00 GMT+0530 (India Standard Time),22022.85,22025.95,22015.85,22018.35,21998.05
Fri May 10 2024 14:30:00 GMT+0530 (India Standard Time),22017.65,22035.5,22016.55,22019.75,21998.05
Fri May 10 2024 14:35:00 GMT+0530 (India Standard Time),22019.2,22022.85,22009.15,22014.75,21998.05
Fri May 10 2024 14:40:00 GMT+0530 (India Standard Time),22014.3,22032.75,22012.5,22030.65,21998.05
Fri May 10 2024 14:45:00 GMT+0530 (India Standard Time),22029.75,22043.8,22020.6,22025.1,21998.05
Fri May 10 2024 14:50:00 GMT+0530 (India Standard Time),22026.45,22036.8,22021.35,22032.8,21998.05
Fri May 10 2024 14:55:00 GMT+0530 (India Standard Time),22033.2,22041.55,22027.95,22037.3,21998.05
Fri May 10 2024 15:00:00 GMT+0530 (India Standard Time),22037.7,22071.7,22036.75,22054.9,21998.05
Fri May 10 2024 15:05:00 GMT+0530 (India Standard Time),22054.3,22072.4,22043.5,22060.05,21998.05
Fri May 10 2024 15:10:00 GMT+0530 (India Standard Time),22060.9,22062.65,22044.25,22054.6,21998.05
Fri May 10 2024 15:15:00 GMT+0530 (India Standard Time),22054.2,22067.45,22046.35,22061.95,21998.05
Fri May 10 2024 15:20:00 GMT+0530 (India Standard Time),22061.1,22062.5,22054.15,22060.4,22001.22
Fri May 10 2024 15:25:00 GMT+0530 (India Standard Time),22059.9,22060.95,22041.4,22054,22001.22
Mon May 13 2024 09:15:00 GMT+0530 (India Standard Time),22027.95,22067.3,21961.95,21970.2,22067.54
Mon May 13 2024 09:20:00 GMT+0530 (India Standard Time),21968.8,21978.15,21929.4,21938.65,22055.49
Mon May 13 2024 09:25:00 GMT+0530 (India Standard Time),21938.25,21979,21937.4,21951.8,22055.49
Mon May 13 2024 09:30:00 GMT+0530 (India Standard Time),21952.2,21965,21892.4,21894.5,22049.82
Mon May 13 2024 09:35:00 GMT+0530 (India Standard Time),21893.75,21908.7,21883.6,21885.95,22010.73
Mon May 13 2024 09:40:00 GMT+0530 (India Standard Time),21887.1,21901.85,21851.6,21857.4,21996.47
Mon May 13 2024 09:45:00 GMT+0530 (India Standard Time),21856.8,21897.3,21856.8,21895.7,21996.47
Mon May 13 2024 09:50:00 GMT+0530 (India Standard Time),21895.65,21897.7,21871.75,21876.8,21996.47
Mon May 13 2024 09:55:00 GMT+0530 (India Standard Time),21876.4,21883.25,21855.45,21860.35,21978.96
Mon May 13 2024 10:00:00 GMT+0530 (India Standard Time),21861.55,21863.8,21828.4,21843.3,21955.22
Mon May 13 2024 10:05:00 GMT+0530 (India Standard Time),21843.3,21868.1,21840.9,21867.75,21955.22
Mon May 13 2024 10:10:00 GMT+0530 (India Standard Time),21866.6,21886.6,21856.3,21886.1,21955.22
Mon May 13 2024 10:15:00 GMT+0530 (India Standard Time),21885.2,21885.2,21852.6,21860.9,21955.22
Mon May 13 2024 10:20:00 GMT+0530 (India Standard Time),21860.75,21874.4,21845,21870.7,21955.22
Mon May 13 2024 10:25:00 GMT+0530 (India Standard Time),21870.55,21889.75,21868.85,21873.8,21955.22
Mon May 13 2024 10:30:00 GMT+0530 (India Standard Time),21874,21876.1,21854.15,21858.05,21955.22
Mon May 13 2024 10:35:00 GMT+0530 (India Standard Time),21857.2,21860.25,21838.2,21839.8,21936.73
Mon May 13 2024 10:40:00 GMT+0530 (India Standard Time),21839.3,21841.8,21824.85,21832.85,21915.59
Mon May 13 2024 10:45:00 GMT+0530 (India Standard Time),21832.75,21848.3,21821.05,21848.25,21915.59
Mon May 13 2024 10:50:00 GMT+0530 (India Standard Time),21848.6,21879.6,21841.6,21877.85,21915.59
Mon May 13 2024 10:55:00 GMT+0530 (India Standard Time),21878.35,21878.55,21859.8,21873.25,21915.59
Mon May 13 2024 11:00:00 GMT+0530 (India Standard Time),21873.55,21889.6,21861.2,21887.9,21915.59
Mon May 13 2024 11:05:00 GMT+0530 (India Standard Time),21888.1,21921.55,21886.15,21914.15,21915.59
Mon May 13 2024 11:10:00 GMT+0530 (India Standard Time),21914.75,21917.8,21904.35,21911.1,21915.59
Mon May 13 2024 11:15:00 GMT+0530 (India Standard Time),21911.05,21949.4,21910.7,21940.55,21845.25
Mon May 13 2024 11:20:00 GMT+0530 (India Standard Time),21941.1,21945.9,21922.95,21923.05,21851.9
Mon May 13 2024 11:25:00 GMT+0530 (India Standard Time),21923.6,21938.25,21923.3,21936.15,21853.52
Mon May 13 2024 11:30:00 GMT+0530 (India Standard Time),21936.9,21976.95,21932.95,21975,21869.88
Mon May 13 2024 11:35:00 GMT+0530 (India Standard Time),21975.65,21989.75,21971.5,21979.85,21899.88
Mon May 13 2024 11:40:00 GMT+0530 (India Standard Time),21980.2,21981.1,21962.75,21962.75,21899.88
Mon May 13 2024 11:45:00 GMT+0530 (India Standard Time),21962.7,21971.1,21947.2,21951.05,21899.88
Mon May 13 2024 11:50:00 GMT+0530 (India Standard Time),21951.15,21977.8,21951.15,21974.75,21899.88
Mon May 13 2024 11:55:00 GMT+0530 (India Standard Time),21976.2,21977.95,21967.55,21971.6,21902.41
Mon May 13 2024 12:00:00 GMT+0530 (India Standard Time),21971.15,21989,21971.15,21988.35,21912.13
Mon May 13 2024 12:05:00 GMT+0530 (India Standard Time),21987.85,21990.55,21975.35,21976.2,21918.2
Mon May 13 2024 12:10:00 GMT+0530 (India Standard Time),21976.55,21986.6,21969.1,21985.4,21918.2
Mon May 13 2024 12:15:00 GMT+0530 (India Standard Time),21986.85,21992.9,21967,21976.25,21918.2
Mon May 13 2024 12:20:00 GMT+0530 (India Standard Time),21976.9,21992.4,21973.8,21986.5,21919.33
Mon May 13 2024 12:25:00 GMT+0530 (India Standard Time),21986.55,22024.3,21983.95,22023.6,21932.17
Mon May 13 2024 12:30:00 GMT+0530 (India Standard Time),22023.1,22032.25,22017.25,22027.25,21956.65
Mon May 13 2024 12:35:00 GMT+0530 (India Standard Time),22027.5,22034.75,22018.7,22032.9,21961.47
Mon May 13 2024 12:40:00 GMT+0530 (India Standard Time),22032.15,22041,22020.95,22022.45,21966.45
Mon May 13 2024 12:45:00 GMT+0530 (India Standard Time),22022.55,22024.25,22001.9,22014.15,21966.45
Mon May 13 2024 12:50:00 GMT+0530 (India Standard Time),22014.35,22016.8,21989.5,22005.9,21966.45
Mon May 13 2024 12:55:00 GMT+0530 (India Standard Time),22005.75,22019.7,22005.75,22019.7,21966.45
Mon May 13 2024 13:00:00 GMT+0530 (India Standard Time),22019.15,22028.35,22011.05,22011.25,21966.45
Mon May 13 2024 13:05:00 GMT+0530 (India Standard Time),22011.05,22028.25,22010.95,22025.8,21966.45
Mon May 13 2024 13:10:00 GMT+0530 (India Standard Time),22024.95,22034.9,22022.7,22029.2,21971.67
Mon May 13 2024 13:15:00 GMT+0530 (India Standard Time),22029.1,22038.05,22016.75,22017.35,21971.67
Mon May 13 2024 13:20:00 GMT+0530 (India Standard Time),22018.55,22019.65,21966.1,21966.35,22065.62
Mon May 13 2024 13:25:00 GMT+0530 (India Standard Time),21967.7,21986.9,21967.3,21973.6,22048.26
Mon May 13 2024 13:30:00 GMT+0530 (India Standard Time),21973.6,21974.4,21934,21942.2,22032.51
Mon May 13 2024 13:35:00 GMT+0530 (India Standard Time),21942.2,21964.3,21940.45,21961.65,22029.72
Mon May 13 2024 13:40:00 GMT+0530 (India Standard Time),21961.5,21979.2,21954.4,21978.45,22029.72
Mon May 13 2024 13:45:00 GMT+0530 (India Standard Time),21977.75,22010.4,21967.6,22009.55,22029.72
Mon May 13 2024 13:50:00 GMT+0530 (India Standard Time),22009.15,22083.6,22008.25,22083.6,21941.39
Mon May 13 2024 13:55:00 GMT+0530 (India Standard Time),22082.95,22104.1,22072.15,22102,21984.83
Mon May 13 2024 14:00:00 GMT+0530 (India Standard Time),22102.6,22111.65,22085.75,22085.75,21999.06
Mon May 13 2024 14:05:00 GMT+0530 (India Standard Time),22085,22101.4,22081.65,22085.65,21999.06
Mon May 13 2024 14:10:00 GMT+0530 (India Standard Time),22085.75,22103.8,22078.5,22103.05,21999.85
Mon May 13 2024 14:15:00 GMT+0530 (India Standard Time),22103.4,22123.45,22101.4,22104.2,22024.72
Mon May 13 2024 14:20:00 GMT+0530 (India Standard Time),22103.9,22103.95,22080.4,22091.5,22024.72
Mon May 13 2024 14:25:00 GMT+0530 (India Standard Time),22091,22101.45,22080.05,22100.1,22024.72
Mon May 13 2024 14:30:00 GMT+0530 (India Standard Time),22099.75,22126.2,22099.5,22106.05,22030.82
Mon May 13 2024 14:35:00 GMT+0530 (India Standard Time),22107.65,22122.9,22101.15,22117.35,22032.39
Mon May 13 2024 14:40:00 GMT+0530 (India Standard Time),22117.4,22127.15,22102.95,22121.45,22036.42
Mon May 13 2024 14:45:00 GMT+0530 (India Standard Time),22120.55,22124.65,22111.25,22117.7,22044.81
Mon May 13 2024 14:50:00 GMT+0530 (India Standard Time),22117.8,22130.45,22106.6,22124.35,22045.61
Mon May 13 2024 14:55:00 GMT+0530 (India Standard Time),22124,22130.7,22115.45,22119.75,22054.04
Mon May 13 2024 15:00:00 GMT+0530 (India Standard Time),22120,22129.75,22070.55,22091.25,22054.04
Mon May 13 2024 15:05:00 GMT+0530 (India Standard Time),22090.35,22107.4,22087.1,22098.1,22054.04
Mon May 13 2024 15:10:00 GMT+0530 (India Standard Time),22097.9,22103.2,22094.25,22098.45,22054.04
Mon May 13 2024 15:15:00 GMT+0530 (India Standard Time),22098.45,22118.9,22092.15,22116.2,22054.04
Mon May 13 2024 15:20:00 GMT+0530 (India Standard Time),22116.85,22126.55,22115.4,22124.55,22054.04
Mon May 13 2024 15:25:00 GMT+0530 (India Standard Time),22124.9,22131.65,22116.5,22119.4,22058.84
Tue May 14 2024 09:15:00 GMT+0530 (India Standard Time),22126.5,22182.7,22124.25,22173.85,22070.43
