Unnamed: 0,SYMBOL,NAME OF COMPANY,Industry,SECTOR
772,IDFCFIRSTB.NS,IDFC First Bank Limited,Financial Services,Financial Services
773,IEL.NS,Indiabulls Enterprises Limited,Others,Others
774,IEX.NS,Indian Energy Exchange Limited,Financial Services,Financial Services
775,IFBAGRO.NS,IFB Agro Industries Limited,Others,Others
776,IFBIND.NS,IFB Industries Limited,Consumer Durables,Consumer Durables
777,IFCI.NS,IFCI Limited,Financial Services,Financial Services
778,IFGLEXPOR.NS,IFGL Refractories Limited,Others,Others
779,IGARASHI.NS,Igarashi Motors India Limited,Others,Others
780,IGL.NS,Indraprastha Gas Limited,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels
781,IGPL.NS,IG Petrochemicals Limited,Others,Others
782,IIFL.NS,IIFL Finance Limited,Financial Services,Financial Services
783,IIFLSEC.NS,IIFL Securities Limited,Financial Services,Financial Services
784,IITL.NS,Industrial Investment Trust Limited,Others,Others
785,IKIO.NS,IKIO Lighting Limited,Consumer Durables,Consumer Durables
786,IL&FSENGG.NS,IL&FS Engineering and Construction Company Limited,Others,Others
787,IL&FSTRANS.NS,IL&FS Transportation Networks Limited,Others,Others
788,IMAGICAA.NS,Imagicaaworld Entertainment Limited,Others,Others
789,IMFA.NS,Indian Metals & Ferro Alloys Limited,Metals & Mining,Metals & Mining
790,IMPAL.NS,India Motor Parts and Accessories Limited,Others,Others
791,IMPEXFERRO.NS,Impex Ferro Tech Limited,Others,Others
792,INCREDIBLE.NS,INCREDIBLE INDUSTRIES LIMITED,Others,Others
793,INDBANK.NS,Indbank Merchant Banking Services Limited,Others,Others
794,INDGN.NS,Indegene Limited,Others,Others
795,INDHOTEL.NS,The Indian Hotels Company Limited,Consumer Services,Consumer Services
796,INDIACEM.NS,The India Cements Limited,Construction Materials,Construction Materials
797,INDIAGLYCO.NS,India Glycols Limited,Chemicals,Chemicals
798,INDIAMART.NS,Indiamart Intermesh Limited,Consumer Services,Consumer Services
799,INDIANB.NS,Indian Bank,Financial Services,Financial Services
800,INDIANCARD.NS,Indian Card Clothing Company Limited,Others,Others
801,INDIANHUME.NS,Indian Hume Pipe Company Limited,Others,Others
802,INDIASHLTR.NS,India Shelter Finance Corporation Limited,Financial Services,Financial Services
803,INDIGO.NS,InterGlobe Aviation Limited,Services,Services
804,INDIGOPNTS.NS,Indigo Paints Limited,Consumer Durables,Consumer Durables
805,INDNIPPON.NS,India Nippon Electricals Limited,Others,Others
806,INDOAMIN.NS,Indo Amines Limited,Others,Others
807,INDOBORAX.NS,Indo Borax & Chemicals Limited,Others,Others
808,INDOCO.NS,Indoco Remedies Limited,Healthcare,Healthcare
809,INDORAMA.NS,Indo Rama Synthetics (India) Limited,Others,Others
810,INDOSTAR.NS,IndoStar Capital Finance Limited,Others,Others
