"Date","Open","High","Low","Close","Volume","OI","Trend ‌Supertrend‌ (7,3)"
"Thu May 09 2024 10:00:00 GMT+0530 (India Standard Time)","267.30","273.35","259.00","264.10","27900.00","263775.00","323.03"
"Thu May 09 2024 10:05:00 GMT+0530 (India Standard Time)","264.10","273.55","264.10","269.35","15025.00","265875.00","321.61"
"Thu May 09 2024 10:10:00 GMT+0530 (India Standard Time)","269.35","271.25","247.00","249.75","49925.00","268200.00","314.76"
"Thu May 09 2024 10:15:00 GMT+0530 (India Standard Time)","249.75","256.45","245.00","251.00","36875.00","289625.00","303.32"
"Thu May 09 2024 10:20:00 GMT+0530 (India Standard Time)","251.00","251.00","222.00","222.00","78125.00","314725.00","294.01"
"Thu May 09 2024 10:25:00 GMT+0530 (India Standard Time)","222.20","223.25","209.75","216.00","194950.00","288600.00","271.58"
"Thu May 09 2024 10:30:00 GMT+0530 (India Standard Time)","216.20","223.85","213.20","222.95","77225.00","320600.00","270.30"
"Thu May 09 2024 10:35:00 GMT+0530 (India Standard Time)","222.95","226.00","216.70","219.40","52325.00","338275.00","269.72"
"Thu May 09 2024 10:40:00 GMT+0530 (India Standard Time)","219.35","222.05","209.00","212.70","94500.00","353000.00","262.57"
"Thu May 09 2024 10:45:00 GMT+0530 (India Standard Time)","212.80","215.95","205.00","207.80","150350.00","368500.00","255.50"
"Thu May 09 2024 10:50:00 GMT+0530 (India Standard Time)","207.80","216.80","207.00","208.70","180150.00","469250.00","254.69"
"Thu May 09 2024 10:55:00 GMT+0530 (India Standard Time)","208.70","221.85","206.10","218.40","99775.00","487750.00","254.69"
"Thu May 09 2024 11:00:00 GMT+0530 (India Standard Time)","218.40","218.40","209.25","213.30","57075.00","506550.00","254.69"
"Thu May 09 2024 11:05:00 GMT+0530 (India Standard Time)","212.80","213.70","199.25","205.70","125050.00","539225.00","247.93"
"Thu May 09 2024 11:10:00 GMT+0530 (India Standard Time)","205.70","206.75","202.00","204.15","136075.00","556850.00","241.95"
"Thu May 09 2024 11:15:00 GMT+0530 (India Standard Time)","204.15","208.05","200.00","201.00","192350.00","666125.00","239.68"
"Thu May 09 2024 11:20:00 GMT+0530 (India Standard Time)","201.25","206.95","197.65","200.75","116875.00","697225.00","236.85"
"Thu May 09 2024 11:25:00 GMT+0530 (India Standard Time)","200.75","208.80","199.65","202.50","59075.00","705625.00","236.85"
"Thu May 09 2024 11:30:00 GMT+0530 (India Standard Time)","202.50","212.00","196.90","208.45","91600.00","714075.00","236.85"
"Thu May 09 2024 11:35:00 GMT+0530 (India Standard Time)","208.00","217.50","206.75","217.50","101950.00","722850.00","236.85"
"Thu May 09 2024 11:40:00 GMT+0530 (India Standard Time)","217.65","222.40","212.00","216.80","130425.00","750300.00","236.85"
"Thu May 09 2024 11:45:00 GMT+0530 (India Standard Time)","217.00","225.95","215.00","218.50","112625.00","757700.00","236.85"
"Thu May 09 2024 11:50:00 GMT+0530 (India Standard Time)","218.50","225.55","212.55","213.35","73500.00","759525.00","236.85"
"Thu May 09 2024 11:55:00 GMT+0530 (India Standard Time)","213.35","219.80","209.05","218.95","55025.00","768825.00","236.85"
