"Date","Open","High","Low","Close","Volume","OI","Trend ‌Supertrend‌ (7,3)"
"Thu May 09 2024 10:00:00 GMT+0530 (India Standard Time)","457.00","457.00","445.35","445.35","175.00","5375.00","489.90"
"Thu May 09 2024 10:05:00 GMT+0530 (India Standard Time)","445.35","459.35","445.35","459.35","100.00","5475.00","489.90"
"Thu May 09 2024 10:10:00 GMT+0530 (India Standard Time)","459.35","459.35","431.00","434.00","450.00","5675.00","489.90"
"Thu May 09 2024 10:15:00 GMT+0530 (India Standard Time)","434.00","439.05","432.55","439.05","200.00","6025.00","477.79"
"Thu May 09 2024 10:20:00 GMT+0530 (India Standard Time)","439.05","439.05","394.50","394.50","2500.00","8025.00","471.86"
"Thu May 09 2024 10:25:00 GMT+0530 (India Standard Time)","394.50","394.50","382.05","382.05","1150.00","8650.00","440.83"
"Thu May 09 2024 10:30:00 GMT+0530 (India Standard Time)","382.05","402.10","382.05","402.10","275.00","9125.00","440.83"
"Thu May 09 2024 10:35:00 GMT+0530 (India Standard Time)","402.10","402.10","392.00","392.00","350.00","9150.00","440.83"
"Thu May 09 2024 10:40:00 GMT+0530 (India Standard Time)","392.00","394.70","383.55","385.95","900.00","9800.00","437.02"
"Thu May 09 2024 10:45:00 GMT+0530 (India Standard Time)","385.95","385.95","380.00","380.95","350.00","10375.00","426.58"
"Thu May 09 2024 10:50:00 GMT+0530 (India Standard Time)","380.95","386.70","380.95","381.55","225.00","10425.00","423.66"
"Thu May 09 2024 10:55:00 GMT+0530 (India Standard Time)","381.55","396.65","380.95","396.65","350.00","10675.00","423.66"
"Thu May 09 2024 11:00:00 GMT+0530 (India Standard Time)","396.65","396.65","382.10","382.10","575.00","10700.00","423.66"
"Thu May 09 2024 11:05:00 GMT+0530 (India Standard Time)","382.10","382.65","375.60","379.30","525.00","11500.00","417.52"
"Thu May 09 2024 11:10:00 GMT+0530 (India Standard Time)","379.30","379.30","375.40","377.85","225.00","11775.00","411.93"
"Thu May 09 2024 11:15:00 GMT+0530 (India Standard Time)","377.85","382.20","373.80","374.95","250.00","11875.00","411.24"
"Thu May 09 2024 11:20:00 GMT+0530 (India Standard Time)","374.95","376.75","366.75","374.10","875.00","11975.00","404.53"
"Thu May 09 2024 11:25:00 GMT+0530 (India Standard Time)","374.10","378.60","373.80","375.35","225.00","12150.00","404.53"
"Thu May 09 2024 11:30:00 GMT+0530 (India Standard Time)","375.35","381.60","369.95","381.60","1125.00","12550.00","404.53"
"Thu May 09 2024 11:35:00 GMT+0530 (India Standard Time)","381.60","386.35","381.55","383.20","175.00","12475.00","404.53"
"Thu May 09 2024 11:40:00 GMT+0530 (India Standard Time)","383.20","400.00","383.20","390.00","300.00","12500.00","404.53"
"Thu May 09 2024 11:45:00 GMT+0530 (India Standard Time)","390.00","405.50","390.00","399.60","475.00","12400.00","404.53"
"Thu May 09 2024 11:50:00 GMT+0530 (India Standard Time)","399.60","405.05","388.70","391.80","125.00","12525.00","404.53"
"Thu May 09 2024 11:55:00 GMT+0530 (India Standard Time)","391.80","391.80","386.15","386.15","150.00","12575.00","404.53"
"Thu May 09 2024 12:00:00 GMT+0530 (India Standard Time)","386.15","395.25","386.15","394.65","200.00","12700.00","404.53"
"Thu May 09 2024 12:05:00 GMT+0530 (India Standard Time)","394.65","394.65","390.40","390.40","125.00","12925.00","404.53"
"Thu May 09 2024 12:10:00 GMT+0530 (India Standard Time)","390.40","398.65","387.90","398.65","100.00","13050.00","404.53"
"Thu May 09 2024 12:15:00 GMT+0530 (India Standard Time)","398.65","418.30","398.65","418.30","825.00","12550.00","374.38"
"Thu May 09 2024 12:20:00 GMT+0530 (India Standard Time)","418.30","418.30","407.70","408.65","175.00","12550.00","379.23"
"Thu May 09 2024 12:25:00 GMT+0530 (India Standard Time)","408.65","408.95","390.00","390.00","275.00","12500.00","379.23"
"Thu May 09 2024 12:30:00 GMT+0530 (India Standard Time)","390.00","390.00","390.00","390.00","0","12500.00","379.23"
"Thu May 09 2024 12:35:00 GMT+0530 (India Standard Time)","390.00","390.00","376.80","383.10","500.00","12525.00","379.23"
"Thu May 09 2024 12:40:00 GMT+0530 (India Standard Time)","383.10","383.10","377.35","377.35","150.00","12725.00","410.88"
"Thu May 09 2024 12:45:00 GMT+0530 (India Standard Time)","377.35","377.35","343.50","345.30","2550.00","14175.00","401.21"
"Thu May 09 2024 12:50:00 GMT+0530 (India Standard Time)","345.30","347.95","320.00","325.50","1575.00","14625.00","380.91"
"Thu May 09 2024 12:55:00 GMT+0530 (India Standard Time)","325.50","325.50","310.20","325.00","3675.00","16275.00","364.64"
"Thu May 09 2024 13:00:00 GMT+0530 (India Standard Time)","321.25","333.60","319.45","333.60","2900.00","16625.00","364.64"
"Thu May 09 2024 13:05:00 GMT+0530 (India Standard Time)","333.60","333.60","326.50","330.00","600.00","16750.00","364.64"
"Thu May 09 2024 13:10:00 GMT+0530 (India Standard Time)","330.00","330.00","320.00","326.05","400.00","17400.00","364.64"
"Thu May 09 2024 13:15:00 GMT+0530 (India Standard Time)","326.05","328.20","324.50","326.95","275.00","17575.00","362.92"
"Thu May 09 2024 13:20:00 GMT+0530 (India Standard Time)","326.95","326.95","301.00","301.00","675.00","17875.00","356.44"
"Thu May 09 2024 13:25:00 GMT+0530 (India Standard Time)","301.00","321.00","300.00","319.00","2925.00","18600.00","355.90"
"Thu May 09 2024 13:30:00 GMT+0530 (India Standard Time)","319.00","324.65","314.80","314.80","425.00","20400.00","355.90"
"Thu May 09 2024 13:35:00 GMT+0530 (India Standard Time)","314.80","322.15","314.80","319.15","700.00","20400.00","355.90"
"Thu May 09 2024 13:40:00 GMT+0530 (India Standard Time)","319.15","329.40","318.00","318.00","600.00","20950.00","355.90"
"Thu May 09 2024 13:45:00 GMT+0530 (India Standard Time)","318.00","342.00","318.00","337.95","1875.00","20925.00","355.90"
"Thu May 09 2024 13:50:00 GMT+0530 (India Standard Time)","337.95","337.95","318.15","320.85","2100.00","21725.00","355.90"
"Thu May 09 2024 13:55:00 GMT+0530 (India Standard Time)","320.85","323.60","314.00","317.90","1400.00","22000.00","355.90"
"Thu May 09 2024 14:00:00 GMT+0530 (India Standard Time)","317.90","317.90","305.00","315.00","2075.00","22600.00","354.42"
"Thu May 09 2024 14:05:00 GMT+0530 (India Standard Time)","315.00","333.85","315.00","333.85","3625.00","22300.00","354.42"
"Thu May 09 2024 14:10:00 GMT+0530 (India Standard Time)","333.85","333.85","325.95","325.95","1700.00","21800.00","354.42"
"Thu May 09 2024 14:15:00 GMT+0530 (India Standard Time)","325.95","328.85","322.20","322.20","550.00","21650.00","354.42"
"Thu May 09 2024 14:20:00 GMT+0530 (India Standard Time)","322.20","338.95","321.80","321.80","2425.00","21450.00","354.42"
"Thu May 09 2024 14:25:00 GMT+0530 (India Standard Time)","321.80","330.65","315.50","317.80","1350.00","21325.00","354.42"
"Thu May 09 2024 14:30:00 GMT+0530 (India Standard Time)","317.80","320.25","310.25","314.20","2425.00","21525.00","354.42"
"Thu May 09 2024 14:35:00 GMT+0530 (India Standard Time)","314.20","316.60","297.05","301.30","3300.00","21925.00","349.19"
"Thu May 09 2024 14:40:00 GMT+0530 (India Standard Time)","301.30","304.00","279.90","283.00","8450.00","23375.00","338.59"
"Thu May 09 2024 14:45:00 GMT+0530 (India Standard Time)","283.00","301.10","281.65","298.00","5725.00","27425.00","338.59"
"Thu May 09 2024 14:50:00 GMT+0530 (India Standard Time)","298.00","311.80","298.00","299.65","3750.00","29100.00","338.59"
"Thu May 09 2024 14:55:00 GMT+0530 (India Standard Time)","299.65","300.00","292.50","292.50","2200.00","30450.00","338.59"
"Thu May 09 2024 15:00:00 GMT+0530 (India Standard Time)","292.50","292.85","281.15","284.25","4000.00","29800.00","329.54"
"Thu May 09 2024 15:05:00 GMT+0530 (India Standard Time)","284.25","286.10","274.95","283.85","6750.00","31025.00","321.77"
"Thu May 09 2024 15:10:00 GMT+0530 (India Standard Time)","283.85","286.60","267.85","269.05","5900.00","34425.00","320.61"
"Thu May 09 2024 15:15:00 GMT+0530 (India Standard Time)","267.05","274.20","266.05","267.40","26600.00","45775.00","310.81"
"Thu May 09 2024 15:20:00 GMT+0530 (India Standard Time)","267.40","268.65","257.25","262.15","15550.00","45700.00","302.70"
"Thu May 09 2024 15:25:00 GMT+0530 (India Standard Time)","262.15","276.00","260.30","274.05","37425.00","71975.00","302.70"
"Fri May 10 2024 09:15:00 GMT+0530 (India Standard Time)","288.90","293.05","273.10","274.55","69375.00","77775.00","302.70"
"Fri May 10 2024 09:20:00 GMT+0530 (India Standard Time)","274.55","301.00","267.80","301.00","82725.00","88225.00","302.70"
"Fri May 10 2024 09:25:00 GMT+0530 (India Standard Time)","301.90","318.55","299.75","315.30","73725.00","85500.00","257.57"
"Fri May 10 2024 09:30:00 GMT+0530 (India Standard Time)","315.30","321.35","305.55","306.55","56700.00","96800.00","261.91"
"Fri May 10 2024 09:35:00 GMT+0530 (India Standard Time)","306.55","316.35","298.45","301.50","52250.00","106375.00","261.91"
"Fri May 10 2024 09:40:00 GMT+0530 (India Standard Time)","301.50","329.60","294.00","325.25","65450.00","115600.00","261.91"
"Fri May 10 2024 09:45:00 GMT+0530 (India Standard Time)","325.25","333.55","321.00","329.10","37575.00","112725.00","270.73"
"Fri May 10 2024 09:50:00 GMT+0530 (India Standard Time)","329.10","358.40","322.50","356.20","60150.00","108000.00","276.59"
"Fri May 10 2024 09:55:00 GMT+0530 (India Standard Time)","356.20","367.70","349.35","365.30","32600.00","100300.00","295.93"
"Fri May 10 2024 10:00:00 GMT+0530 (India Standard Time)","364.65","368.40","352.00","357.30","22550.00","102275.00","299.52"
"Fri May 10 2024 10:05:00 GMT+0530 (India Standard Time)","357.30","370.65","348.85","356.75","13850.00","102525.00","299.52"
"Fri May 10 2024 10:10:00 GMT+0530 (India Standard Time)","356.75","367.30","354.60","360.00","9600.00","101925.00","302.91"
"Fri May 10 2024 10:15:00 GMT+0530 (India Standard Time)","360.00","377.35","355.35","365.20","16700.00","102700.00","307.18"
"Fri May 10 2024 10:20:00 GMT+0530 (India Standard Time)","365.20","365.20","333.35","345.15","31950.00","98500.00","307.18"
"Fri May 10 2024 10:25:00 GMT+0530 (India Standard Time)","345.15","355.70","339.55","344.80","9500.00","98350.00","307.18"
"Fri May 10 2024 10:30:00 GMT+0530 (India Standard Time)","344.80","353.80","335.00","349.90","24175.00","98650.00","307.18"
"Fri May 10 2024 10:35:00 GMT+0530 (India Standard Time)","349.90","356.10","342.00","344.95","12375.00","100025.00","307.18"
"Fri May 10 2024 10:40:00 GMT+0530 (India Standard Time)","344.95","346.75","337.45","340.00","7325.00","99675.00","307.18"
"Fri May 10 2024 10:45:00 GMT+0530 (India Standard Time)","340.00","340.60","310.50","320.00","37450.00","105075.00","307.18"
"Fri May 10 2024 10:50:00 GMT+0530 (India Standard Time)","320.00","323.25","288.55","294.35","54825.00","120925.00","371.64"
"Fri May 10 2024 10:55:00 GMT+0530 (India Standard Time)","293.35","305.10","288.75","297.70","21725.00","121750.00","360.28"
"Fri May 10 2024 11:00:00 GMT+0530 (India Standard Time)","297.70","300.85","288.75","296.50","11425.00","119450.00","354.29"
