"Date","Open","High","Low","Close","Volume","OI","Trend ‌Supertrend‌ (7,3)"
"Thu May 09 2024 10:00:00 GMT+0530 (India Standard Time)","301.55","306.65","292.75","297.15","4175.00","17075.00","352.33"
"Thu May 09 2024 10:05:00 GMT+0530 (India Standard Time)","297.15","306.00","297.15","303.05","1825.00","18500.00","350.48"
"Thu May 09 2024 10:10:00 GMT+0530 (India Standard Time)","303.05","303.40","279.50","282.85","8150.00","19250.00","343.61"
"Thu May 09 2024 10:15:00 GMT+0530 (India Standard Time)","282.85","290.10","278.00","284.20","3200.00","22700.00","333.95"
"Thu May 09 2024 10:20:00 GMT+0530 (India Standard Time)","284.20","284.20","250.95","250.95","16125.00","27000.00","324.59"
"Thu May 09 2024 10:25:00 GMT+0530 (India Standard Time)","250.50","252.45","240.20","247.25","7050.00","27500.00","300.45"
"Thu May 09 2024 10:30:00 GMT+0530 (India Standard Time)","247.25","254.90","243.80","253.75","6150.00","33275.00","300.45"
"Thu May 09 2024 10:35:00 GMT+0530 (India Standard Time)","253.75","257.00","248.40","252.00","3525.00","34575.00","300.23"
"Thu May 09 2024 10:40:00 GMT+0530 (India Standard Time)","252.00","253.40","240.05","241.90","5175.00","35025.00","293.18"
"Thu May 09 2024 10:45:00 GMT+0530 (India Standard Time)","241.90","246.50","236.15","238.60","6850.00","37725.00","285.58"
"Thu May 09 2024 10:50:00 GMT+0530 (India Standard Time)","238.60","246.60","237.85","241.65","4200.00","38525.00","283.91"
"Thu May 09 2024 10:55:00 GMT+0530 (India Standard Time)","241.65","253.45","235.40","250.25","4925.00","39525.00","283.91"
"Thu May 09 2024 11:00:00 GMT+0530 (India Standard Time)","250.25","250.25","240.00","244.05","4275.00","39425.00","283.91"
"Thu May 09 2024 11:05:00 GMT+0530 (India Standard Time)","244.05","244.05","229.55","237.60","8200.00","41025.00","278.71"
"Thu May 09 2024 11:10:00 GMT+0530 (India Standard Time)","237.60","237.60","232.15","235.55","3225.00","41550.00","273.14"
"Thu May 09 2024 11:15:00 GMT+0530 (India Standard Time)","235.55","238.35","230.15","230.15","5400.00","44400.00","270.56"
"Thu May 09 2024 11:20:00 GMT+0530 (India Standard Time)","230.15","237.70","227.05","232.30","6575.00","47575.00","268.06"
"Thu May 09 2024 11:25:00 GMT+0530 (India Standard Time)","232.30","239.25","229.80","233.95","3950.00","47775.00","268.06"
"Thu May 09 2024 11:30:00 GMT+0530 (India Standard Time)","233.95","241.90","227.00","241.25","7150.00","50325.00","268.06"
"Thu May 09 2024 11:35:00 GMT+0530 (India Standard Time)","241.25","249.20","238.15","249.20","4900.00","50225.00","268.06"
"Thu May 09 2024 11:40:00 GMT+0530 (India Standard Time)","249.20","254.00","244.60","248.00","5900.00","50875.00","268.06"
"Thu May 09 2024 11:45:00 GMT+0530 (India Standard Time)","248.00","258.30","247.55","253.05","8675.00","49725.00","268.06"
"Thu May 09 2024 11:50:00 GMT+0530 (India Standard Time)","253.05","257.85","244.25","244.25","8150.00","50375.00","268.06"
"Thu May 09 2024 11:55:00 GMT+0530 (India Standard Time)","244.25","251.25","240.75","251.00","5600.00","50450.00","268.06"
"Thu May 09 2024 12:00:00 GMT+0530 (India Standard Time)","251.00","252.40","245.45","248.35","3075.00","51075.00","268.06"
"Thu May 09 2024 12:05:00 GMT+0530 (India Standard Time)","248.35","248.65","243.40","243.40","4025.00","52025.00","268.06"
"Thu May 09 2024 12:10:00 GMT+0530 (India Standard Time)","243.40","251.55","243.00","250.95","7900.00","52925.00","268.06"
"Thu May 09 2024 12:15:00 GMT+0530 (India Standard Time)","250.95","268.00","248.75","263.35","13825.00","52575.00","268.06"
"Thu May 09 2024 12:20:00 GMT+0530 (India Standard Time)","263.35","264.40","258.60","259.80","2600.00","51925.00","268.06"
"Thu May 09 2024 12:25:00 GMT+0530 (India Standard Time)","259.80","259.80","244.90","246.00","5900.00","51150.00","268.06"
"Thu May 09 2024 12:30:00 GMT+0530 (India Standard Time)","246.00","249.45","241.55","249.45","5425.00","50600.00","268.06"
"Thu May 09 2024 12:35:00 GMT+0530 (India Standard Time)","249.45","252.00","233.45","236.95","12750.00","51300.00","268.06"
"Thu May 09 2024 12:40:00 GMT+0530 (India Standard Time)","236.95","239.15","230.00","233.95","5100.00","53150.00","268.06"
"Thu May 09 2024 12:45:00 GMT+0530 (India Standard Time)","233.95","236.00","205.00","208.55","50825.00","60350.00","263.05"
"Thu May 09 2024 12:50:00 GMT+0530 (India Standard Time)","208.55","211.30","188.50","194.95","185775.00","75075.00","246.15"
"Thu May 09 2024 12:55:00 GMT+0530 (India Standard Time)","194.90","195.45","181.60","192.20","97825.00","181975.00","234.10"
"Thu May 09 2024 13:00:00 GMT+0530 (India Standard Time)","191.80","200.55","190.45","199.00","150725.00","235700.00","234.10"
"Thu May 09 2024 13:05:00 GMT+0530 (India Standard Time)","199.00","202.00","194.45","195.00","73600.00","240000.00","234.10"
"Thu May 09 2024 13:10:00 GMT+0530 (India Standard Time)","195.15","196.00","190.55","195.05","49025.00","252625.00","230.26"
"Thu May 09 2024 13:15:00 GMT+0530 (India Standard Time)","195.05","197.00","191.90","193.90","50800.00","258625.00","228.34"
"Thu May 09 2024 13:20:00 GMT+0530 (India Standard Time)","193.90","194.00","175.25","175.70","122175.00","264300.00","221.71"
"Thu May 09 2024 13:25:00 GMT+0530 (India Standard Time)","175.95","191.00","174.85","188.20","118375.00","308125.00","221.63"
"Thu May 09 2024 13:30:00 GMT+0530 (India Standard Time)","187.85","193.35","183.40","188.45","61425.00","313325.00","221.63"
"Thu May 09 2024 13:35:00 GMT+0530 (India Standard Time)","188.80","194.30","186.45","193.35","48175.00","323375.00","221.63"
"Thu May 09 2024 13:40:00 GMT+0530 (India Standard Time)","194.05","198.20","186.75","189.80","75500.00","334475.00","221.63"
"Thu May 09 2024 13:45:00 GMT+0530 (India Standard Time)","189.80","205.45","188.40","199.95","101575.00","325975.00","221.63"
"Thu May 09 2024 13:50:00 GMT+0530 (India Standard Time)","199.95","201.20","186.50","189.05","66150.00","319450.00","221.63"
"Thu May 09 2024 13:55:00 GMT+0530 (India Standard Time)","188.50","191.00","182.00","186.50","85700.00","334950.00","221.63"
"Thu May 09 2024 14:00:00 GMT+0530 (India Standard Time)","187.05","188.00","177.10","186.30","89625.00","357950.00","218.81"
"Thu May 09 2024 14:05:00 GMT+0530 (India Standard Time)","186.30","198.55","185.05","197.30","90975.00","363150.00","218.81"
"Thu May 09 2024 14:10:00 GMT+0530 (India Standard Time)","197.30","198.90","190.00","196.25","56775.00","352600.00","218.81"
"Thu May 09 2024 14:15:00 GMT+0530 (India Standard Time)","196.25","197.20","189.15","190.30","48200.00","353700.00","218.81"
"Thu May 09 2024 14:20:00 GMT+0530 (India Standard Time)","190.30","201.20","189.00","190.05","101350.00","361575.00","218.81"
"Thu May 09 2024 14:25:00 GMT+0530 (India Standard Time)","190.25","195.00","183.90","187.00","87025.00","360900.00","218.81"
"Thu May 09 2024 14:30:00 GMT+0530 (India Standard Time)","187.00","187.40","178.90","182.10","112300.00","374825.00","216.00"
"Thu May 09 2024 14:35:00 GMT+0530 (India Standard Time)","182.10","187.15","169.85","175.35","254375.00","385700.00","214.07"
"Thu May 09 2024 14:40:00 GMT+0530 (India Standard Time)","175.25","177.60","159.75","160.80","236025.00","407375.00","206.82"
"Thu May 09 2024 14:45:00 GMT+0530 (India Standard Time)","160.80","173.20","159.95","171.45","247150.00","484900.00","204.95"
"Thu May 09 2024 14:50:00 GMT+0530 (India Standard Time)","172.00","182.60","170.60","172.80","152925.00","478825.00","204.95"
"Thu May 09 2024 14:55:00 GMT+0530 (India Standard Time)","173.00","174.80","166.05","168.20","96375.00","485575.00","204.95"
"Thu May 09 2024 15:00:00 GMT+0530 (India Standard Time)","168.50","168.70","158.65","161.05","173075.00","500750.00","199.14"
"Thu May 09 2024 15:05:00 GMT+0530 (India Standard Time)","161.05","163.85","154.35","161.75","188600.00","502250.00","193.57"
"Thu May 09 2024 15:10:00 GMT+0530 (India Standard Time)","161.75","164.00","148.15","149.75","128375.00","531475.00","192.41"
"Thu May 09 2024 15:15:00 GMT+0530 (India Standard Time)","149.50","154.85","149.50","151.00","247475.00","545050.00","185.61"
"Thu May 09 2024 15:20:00 GMT+0530 (India Standard Time)","151.40","152.40","144.10","147.50","175900.00","526825.00","180.47"
"Thu May 09 2024 15:25:00 GMT+0530 (India Standard Time)","147.50","157.50","147.00","154.95","176800.00","515800.00","180.47"
"Fri May 10 2024 09:15:00 GMT+0530 (India Standard Time)","175.00","200.00","153.65","154.55","1190525.00","777175.00","180.47"
"Fri May 10 2024 09:20:00 GMT+0530 (India Standard Time)","154.55","174.50","150.30","174.50","860900.00","947175.00","180.47"
"Fri May 10 2024 09:25:00 GMT+0530 (India Standard Time)","174.55","187.75","173.05","186.90","1459200.00","1025875.00","138.57"
"Fri May 10 2024 09:30:00 GMT+0530 (India Standard Time)","186.90","189.00","177.55","178.60","1233600.00","1199025.00","138.57"
"Fri May 10 2024 09:35:00 GMT+0530 (India Standard Time)","178.60","186.25","172.55","175.80","1107600.00","1458575.00","138.57"
"Fri May 10 2024 09:40:00 GMT+0530 (India Standard Time)","175.80","195.60","169.05","193.20","1973125.00","1505500.00","138.57"
"Fri May 10 2024 09:45:00 GMT+0530 (India Standard Time)","193.20","199.00","189.15","195.40","1344900.00","1429700.00","145.70"
"Fri May 10 2024 09:50:00 GMT+0530 (India Standard Time)","195.40","218.40","189.65","215.40","1913250.00","1321200.00","150.24"
"Fri May 10 2024 09:55:00 GMT+0530 (India Standard Time)","215.40","224.85","210.65","222.95","1116375.00","1248400.00","165.56"
"Fri May 10 2024 10:00:00 GMT+0530 (India Standard Time)","222.60","225.00","211.60","217.00","686325.00","1182825.00","167.83"
"Fri May 10 2024 10:05:00 GMT+0530 (India Standard Time)","217.00","226.90","209.40","217.00","611275.00","1146550.00","167.83"
"Fri May 10 2024 10:10:00 GMT+0530 (India Standard Time)","217.00","224.80","213.00","217.65","340800.00","1099175.00","170.33"
"Fri May 10 2024 10:15:00 GMT+0530 (India Standard Time)","217.70","230.70","213.05","222.00","550925.00","1089425.00","172.68"
"Fri May 10 2024 10:20:00 GMT+0530 (India Standard Time)","222.00","223.00","196.25","207.40","712600.00","1037550.00","172.68"
"Fri May 10 2024 10:25:00 GMT+0530 (India Standard Time)","207.40","214.65","201.60","205.35","297900.00","1054600.00","172.68"
"Fri May 10 2024 10:30:00 GMT+0530 (India Standard Time)","206.20","212.05","196.85","208.95","400600.00","1062200.00","172.68"
"Fri May 10 2024 10:35:00 GMT+0530 (India Standard Time)","208.95","214.45","202.65","205.75","356325.00","1095775.00","172.68"
"Fri May 10 2024 10:40:00 GMT+0530 (India Standard Time)","205.75","207.35","198.70","201.85","184600.00","1098175.00","172.68"
"Fri May 10 2024 10:45:00 GMT+0530 (India Standard Time)","201.45","202.30","178.00","185.85","765675.00","1053325.00","172.68"
"Fri May 10 2024 10:50:00 GMT+0530 (India Standard Time)","185.70","188.20","163.75","166.80","852175.00","1136500.00","226.22"
"Fri May 10 2024 10:55:00 GMT+0530 (India Standard Time)","166.95","175.25","164.25","169.80","667125.00","1249900.00","219.62"
"Fri May 10 2024 11:00:00 GMT+0530 (India Standard Time)","169.50","172.75","162.95","169.60","443850.00","1335625.00","214.80"
"Fri May 10 2024 11:05:00 GMT+0530 (India Standard Time)","169.60","184.10","169.50","179.50","840425.00","1383550.00","214.80"
"Fri May 10 2024 11:10:00 GMT+0530 (India Standard Time)","179.60","184.50","177.00","178.95","398650.00","1393625.00","214.80"
"Fri May 10 2024 11:15:00 GMT+0530 (India Standard Time)","178.95","189.90","173.65","188.95","703100.00","1395875.00","214.80"
"Fri May 10 2024 11:20:00 GMT+0530 (India Standard Time)","188.95","197.50","185.15","197.50","835650.00","1404650.00","214.80"
"Fri May 10 2024 11:25:00 GMT+0530 (India Standard Time)","197.50","199.30","185.20","188.75","658875.00","1429125.00","214.80"
"Fri May 10 2024 11:30:00 GMT+0530 (India Standard Time)","188.75","189.45","179.35","179.85","485425.00","1401650.00","214.80"
"Fri May 10 2024 11:35:00 GMT+0530 (India Standard Time)","179.85","181.90","169.80","174.35","502275.00","1411375.00","214.80"
"Fri May 10 2024 11:40:00 GMT+0530 (India Standard Time)","174.35","177.30","167.80","172.90","476300.00","1432625.00","211.21"
"Fri May 10 2024 11:45:00 GMT+0530 (India Standard Time)","173.40","174.80","161.50","163.90","595400.00","1518575.00","206.99"
"Fri May 10 2024 11:50:00 GMT+0530 (India Standard Time)","164.65","167.00","159.30","163.15","540550.00","1601650.00","199.74"
"Fri May 10 2024 11:55:00 GMT+0530 (India Standard Time)","163.15","164.95","155.15","161.90","528450.00","1599350.00","195.61"
"Fri May 10 2024 12:00:00 GMT+0530 (India Standard Time)","162.00","168.40","161.50","163.40","654100.00","1701375.00","195.61"
"Fri May 10 2024 12:05:00 GMT+0530 (India Standard Time)","163.40","168.45","159.40","167.05","481375.00","1766175.00","195.61"
"Fri May 10 2024 12:10:00 GMT+0530 (India Standard Time)","167.05","169.50","159.05","161.95","620550.00","1764925.00","195.61"
"Fri May 10 2024 12:15:00 GMT+0530 (India Standard Time)","161.65","164.65","154.50","159.70","517200.00","1746750.00","191.67"
"Fri May 10 2024 12:20:00 GMT+0530 (India Standard Time)","160.20","164.70","158.85","159.65","337025.00","1736400.00","191.67"
"Fri May 10 2024 12:25:00 GMT+0530 (India Standard Time)","159.65","162.00","144.90","157.45","825475.00","1721350.00","186.51"
"Fri May 10 2024 12:30:00 GMT+0530 (India Standard Time)","157.45","164.90","157.45","160.30","652875.00","1802900.00","186.51"
"Fri May 10 2024 12:35:00 GMT+0530 (India Standard Time)","160.30","165.15","157.60","158.25","411625.00","1809950.00","186.51"
"Fri May 10 2024 12:40:00 GMT+0530 (India Standard Time)","158.25","161.80","156.05","157.40","277525.00","1787250.00","186.51"
"Fri May 10 2024 12:45:00 GMT+0530 (India Standard Time)","157.55","158.40","147.15","153.75","667825.00","1778550.00","181.94"
"Fri May 10 2024 12:50:00 GMT+0530 (India Standard Time)","153.75","156.95","149.30","150.00","267575.00","1790725.00","181.40"
"Fri May 10 2024 12:55:00 GMT+0530 (India Standard Time)","150.00","153.55","140.05","141.70","607975.00","1819800.00","176.82"
"Fri May 10 2024 13:00:00 GMT+0530 (India Standard Time)","141.70","146.80","134.95","144.45","612900.00","1752100.00","171.69"
"Fri May 10 2024 13:05:00 GMT+0530 (India Standard Time)","144.45","149.25","140.80","140.80","418075.00","1795325.00","171.69"
"Fri May 10 2024 13:10:00 GMT+0530 (India Standard Time)","140.55","144.75","132.75","136.35","368775.00","1813325.00","169.64"
"Fri May 10 2024 13:15:00 GMT+0530 (India Standard Time)","135.40","139.60","130.30","133.00","286800.00","1824925.00","165.41"
"Fri May 10 2024 13:20:00 GMT+0530 (India Standard Time)","133.00","142.30","132.00","137.25","251700.00","1843075.00","165.41"
"Fri May 10 2024 13:25:00 GMT+0530 (India Standard Time)","136.85","147.45","135.65","145.85","370275.00","1846375.00","165.41"
"Fri May 10 2024 13:30:00 GMT+0530 (India Standard Time)","145.85","160.30","144.00","149.30","1104425.00","1895100.00","165.41"
"Fri May 10 2024 13:35:00 GMT+0530 (India Standard Time)","149.30","152.30","143.90","150.65","346550.00","1814525.00","165.41"
"Fri May 10 2024 13:40:00 GMT+0530 (India Standard Time)","150.95","158.40","150.50","157.50","515575.00","1803850.00","165.41"
"Fri May 10 2024 13:45:00 GMT+0530 (India Standard Time)","157.55","160.30","150.05","159.25","547850.00","1825875.00","165.41"
"Fri May 10 2024 13:50:00 GMT+0530 (India Standard Time)","159.05","171.65","158.95","165.35","899575.00","1769575.00","165.41"
"Fri May 10 2024 13:55:00 GMT+0530 (India Standard Time)","165.35","170.55","160.65","169.70","435900.00","1770225.00","133.78"
"Fri May 10 2024 14:00:00 GMT+0530 (India Standard Time)","169.70","170.90","152.35","153.00","799650.00","1716625.00","133.78"
"Fri May 10 2024 14:05:00 GMT+0530 (India Standard Time)","152.80","157.05","149.05","153.50","498125.00","1708400.00","133.78"
"Fri May 10 2024 14:10:00 GMT+0530 (India Standard Time)","153.45","154.35","141.60","145.95","331875.00","1685300.00","133.78"
"Fri May 10 2024 14:15:00 GMT+0530 (India Standard Time)","145.90","151.85","142.25","145.90","355350.00","1685625.00","133.78"
"Fri May 10 2024 14:20:00 GMT+0530 (India Standard Time)","145.90","147.35","140.75","142.55","363875.00","1698400.00","133.78"
"Fri May 10 2024 14:25:00 GMT+0530 (India Standard Time)","142.55","143.65","137.75","137.75","292000.00","1777650.00","133.78"
"Fri May 10 2024 14:30:00 GMT+0530 (India Standard Time)","137.75","148.25","137.55","142.30","332750.00","1793525.00","133.78"
"Fri May 10 2024 14:35:00 GMT+0530 (India Standard Time)","142.85","143.65","136.70","138.70","397750.00","1787500.00","133.78"
"Fri May 10 2024 14:40:00 GMT+0530 (India Standard Time)","138.70","148.40","137.00","146.85","421225.00","1817525.00","133.78"
"Fri May 10 2024 14:45:00 GMT+0530 (India Standard Time)","147.30","154.15","141.65","145.80","689275.00","1841575.00","133.78"
"Fri May 10 2024 14:50:00 GMT+0530 (India Standard Time)","145.85","149.35","143.60","147.85","258775.00","1848350.00","133.78"
"Fri May 10 2024 14:55:00 GMT+0530 (India Standard Time)","147.85","152.80","146.05","150.75","475625.00","1799250.00","133.78"
"Fri May 10 2024 15:00:00 GMT+0530 (India Standard Time)","150.60","169.10","150.60","165.15","1446725.00","1738325.00","133.78"
"Fri May 10 2024 15:05:00 GMT+0530 (India Standard Time)","165.00","170.40","160.25","164.10","796500.00","1698075.00","134.00"
"Fri May 10 2024 15:10:00 GMT+0530 (India Standard Time)","164.25","166.40","150.50","150.65","691650.00","1522625.00","134.00"
"Fri May 10 2024 15:15:00 GMT+0530 (India Standard Time)","150.35","160.50","145.80","157.15","679550.00","1446725.00","134.00"
"Fri May 10 2024 15:20:00 GMT+0530 (India Standard Time)","157.70","161.70","154.00","159.55","486700.00","1380500.00","134.00"
"Fri May 10 2024 15:25:00 GMT+0530 (India Standard Time)","159.50","159.55","152.85","153.95","410825.00","1264875.00","134.00"
"Mon May 13 2024 09:15:00 GMT+0530 (India Standard Time)","160.00","160.00","120.00","122.85","1653350.00","1478575.00","168.81"
"Mon May 13 2024 09:20:00 GMT+0530 (India Standard Time)","122.85","124.25","104.20","105.00","1132300.00","1792000.00","160.68"
"Mon May 13 2024 09:25:00 GMT+0530 (India Standard Time)","105.00","115.45","103.30","109.15","788425.00","1822500.00","154.40"
"Mon May 13 2024 09:30:00 GMT+0530 (India Standard Time)","108.80","112.40","89.00","90.10","1154200.00","1895700.00","149.32"
"Mon May 13 2024 09:35:00 GMT+0530 (India Standard Time)","90.10","94.60","83.00","84.25","718050.00","1947975.00","135.45"
"Mon May 13 2024 09:40:00 GMT+0530 (India Standard Time)","84.25","90.20","75.00","76.55","854250.00","1965950.00","129.10"
"Mon May 13 2024 09:45:00 GMT+0530 (India Standard Time)","76.55","85.60","76.10","85.20","622775.00","1949775.00","124.78"
"Mon May 13 2024 09:50:00 GMT+0530 (India Standard Time)","85.20","86.45","76.00","77.05","566350.00","2014850.00","123.35"
"Mon May 13 2024 09:55:00 GMT+0530 (India Standard Time)","76.95","78.25","69.55","71.00","621575.00","2069575.00","113.74"
"Mon May 13 2024 10:00:00 GMT+0530 (India Standard Time)","71.00","71.55","61.90","67.25","648450.00","2095200.00","105.01"
"Mon May 13 2024 10:05:00 GMT+0530 (India Standard Time)","67.25","70.65","64.65","70.65","337725.00","2128350.00","103.04"
"Mon May 13 2024 10:10:00 GMT+0530 (India Standard Time)","70.65","75.50","68.05","74.55","521625.00","2147400.00","103.04"
