"Date","Open","High","Low","Close","Volume","OI","Trend ‌Supertrend‌ (7,3)"
"Thu May 09 2024 10:00:00 GMT+0530 (India Standard Time)","373.15","380.00","365.95","370.00","1950.00","8975.00","421.74"
"Thu May 09 2024 10:05:00 GMT+0530 (India Standard Time)","370.00","379.25","370.00","378.40","750.00","9550.00","420.39"
"Thu May 09 2024 10:10:00 GMT+0530 (India Standard Time)","378.40","378.40","354.25","359.20","1825.00","9475.00","415.90"
"Thu May 09 2024 10:15:00 GMT+0530 (India Standard Time)","359.20","359.20","353.70","355.00","175.00","10650.00","401.30"
"Thu May 09 2024 10:20:00 GMT+0530 (India Standard Time)","355.00","356.55","326.50","326.50","2025.00","11400.00","392.85"
"Thu May 09 2024 10:25:00 GMT+0530 (India Standard Time)","322.05","322.05","307.55","314.75","1500.00","11700.00","366.91"
"Thu May 09 2024 10:30:00 GMT+0530 (India Standard Time)","314.75","325.00","312.25","325.00","1750.00","12275.00","366.91"
"Thu May 09 2024 10:35:00 GMT+0530 (India Standard Time)","325.00","325.00","320.20","320.20","50.00","12350.00","366.91"
"Thu May 09 2024 10:40:00 GMT+0530 (India Standard Time)","320.20","320.20","307.45","312.85","2500.00","12200.00","357.88"
"Thu May 09 2024 10:45:00 GMT+0530 (India Standard Time)","312.85","314.45","304.15","308.15","1025.00","12725.00","351.48"
"Thu May 09 2024 10:50:00 GMT+0530 (India Standard Time)","308.15","317.00","307.20","309.45","1525.00","13100.00","351.48"
"Thu May 09 2024 10:55:00 GMT+0530 (India Standard Time)","309.45","322.30","303.10","319.05","950.00","13775.00","351.48"
"Thu May 09 2024 11:00:00 GMT+0530 (India Standard Time)","319.05","319.85","307.05","308.10","425.00","13850.00","351.48"
"Thu May 09 2024 11:05:00 GMT+0530 (India Standard Time)","308.10","308.10","296.75","306.20","1150.00","14200.00","343.45"
"Thu May 09 2024 11:10:00 GMT+0530 (India Standard Time)","306.20","306.20","297.80","303.95","2025.00","15100.00","340.76"
"Thu May 09 2024 11:15:00 GMT+0530 (India Standard Time)","303.95","306.75","299.75","301.65","225.00","16000.00","339.48"
"Thu May 09 2024 11:20:00 GMT+0530 (India Standard Time)","301.65","304.85","295.00","299.50","2325.00","16300.00","335.20"
"Thu May 09 2024 11:25:00 GMT+0530 (India Standard Time)","299.50","304.40","294.75","304.40","2400.00","15925.00","333.94"
"Thu May 09 2024 11:30:00 GMT+0530 (India Standard Time)","304.40","310.55","295.00","307.85","250.00","15800.00","333.94"
"Thu May 09 2024 11:35:00 GMT+0530 (India Standard Time)","307.85","317.65","307.35","314.75","875.00","15750.00","333.94"
"Thu May 09 2024 11:40:00 GMT+0530 (India Standard Time)","314.75","321.40","313.30","316.00","475.00","15875.00","333.94"
"Thu May 09 2024 11:45:00 GMT+0530 (India Standard Time)","316.00","329.65","316.00","325.35","775.00","15900.00","333.94"
"Thu May 09 2024 11:50:00 GMT+0530 (India Standard Time)","325.35","327.70","316.00","317.30","775.00","16275.00","333.94"
"Thu May 09 2024 11:55:00 GMT+0530 (India Standard Time)","317.30","319.25","309.45","319.25","275.00","16425.00","333.94"
"Thu May 09 2024 12:00:00 GMT+0530 (India Standard Time)","319.25","323.60","316.90","318.10","225.00","16650.00","333.94"
"Thu May 09 2024 12:05:00 GMT+0530 (India Standard Time)","318.10","318.10","318.10","318.10","0","16650.00","333.94"
"Thu May 09 2024 12:10:00 GMT+0530 (India Standard Time)","318.10","318.10","310.95","314.30","125.00","16650.00","333.94"
"Thu May 09 2024 12:15:00 GMT+0530 (India Standard Time)","314.30","339.00","314.30","334.70","1750.00","17350.00","293.24"
"Thu May 09 2024 12:20:00 GMT+0530 (India Standard Time)","334.70","336.00","330.55","331.05","700.00","17425.00","302.30"
"Thu May 09 2024 12:25:00 GMT+0530 (India Standard Time)","331.05","331.05","313.05","317.70","2275.00","17700.00","302.30"
"Thu May 09 2024 12:30:00 GMT+0530 (India Standard Time)","317.70","317.70","310.00","316.85","1150.00","18500.00","302.30"
"Thu May 09 2024 12:35:00 GMT+0530 (India Standard Time)","316.85","321.90","301.45","304.75","2100.00","18500.00","302.30"
"Thu May 09 2024 12:40:00 GMT+0530 (India Standard Time)","304.75","305.35","297.55","301.25","1850.00","18975.00","336.31"
"Thu May 09 2024 12:45:00 GMT+0530 (India Standard Time)","301.25","304.25","268.40","273.75","9950.00","22250.00","331.57"
"Thu May 09 2024 12:50:00 GMT+0530 (India Standard Time)","273.75","275.10","250.00","257.90","15750.00","24875.00","312.09"
"Thu May 09 2024 12:55:00 GMT+0530 (India Standard Time)","257.90","257.90","240.90","253.10","13225.00","31150.00","299.15"
"Thu May 09 2024 13:00:00 GMT+0530 (India Standard Time)","253.10","263.00","251.65","260.60","12700.00","35325.00","299.15"
