"Date","Open","High","Low","Close","Volume","OI","Trend ‌Supertrend‌ (7,3)"
"Thu May 09 2024 10:00:00 GMT+0530 (India Standard Time)","176.80","181.20","170.60","175.20","104200.00","421875.00","221.07"
"Thu May 09 2024 10:05:00 GMT+0530 (India Standard Time)","175.20","180.95","174.15","177.65","90950.00","449375.00","219.18"
"Thu May 09 2024 10:10:00 GMT+0530 (India Standard Time)","177.20","178.95","160.10","163.65","175475.00","463275.00","213.28"
"Thu May 09 2024 10:15:00 GMT+0530 (India Standard Time)","162.20","167.15","159.00","163.25","116800.00","490350.00","204.08"
"Thu May 09 2024 10:20:00 GMT+0530 (India Standard Time)","163.25","163.25","140.30","140.75","395250.00","556750.00","196.75"
"Thu May 09 2024 10:25:00 GMT+0530 (India Standard Time)","140.75","141.95","131.65","136.15","235175.00","557925.00","179.77"
"Thu May 09 2024 10:30:00 GMT+0530 (India Standard Time)","136.05","140.95","134.00","140.45","101075.00","531475.00","177.28"
"Thu May 09 2024 10:35:00 GMT+0530 (India Standard Time)","140.00","142.75","136.95","138.50","79750.00","518750.00","176.46"
"Thu May 09 2024 10:40:00 GMT+0530 (India Standard Time)","138.10","140.15","130.80","133.75","105400.00","502675.00","170.86"
"Thu May 09 2024 10:45:00 GMT+0530 (India Standard Time)","133.60","135.30","128.15","130.15","183175.00","490150.00","165.12"
"Thu May 09 2024 10:50:00 GMT+0530 (India Standard Time)","130.15","136.30","129.05","130.05","49175.00","500425.00","164.41"
"Thu May 09 2024 10:55:00 GMT+0530 (India Standard Time)","130.05","139.90","128.00","137.75","82175.00","502775.00","164.41"
"Thu May 09 2024 11:00:00 GMT+0530 (India Standard Time)","137.75","137.75","130.95","133.80","55300.00","517500.00","164.41"
"Thu May 09 2024 11:05:00 GMT+0530 (India Standard Time)","133.80","133.95","123.55","127.95","70450.00","529400.00","159.43"
"Thu May 09 2024 11:10:00 GMT+0530 (India Standard Time)","127.70","129.05","125.25","127.30","38125.00","519600.00","155.08"
"Thu May 09 2024 11:15:00 GMT+0530 (India Standard Time)","127.50","130.40","125.10","125.85","44275.00","522825.00","153.96"
"Thu May 09 2024 11:20:00 GMT+0530 (India Standard Time)","125.85","129.80","123.05","125.05","46700.00","531925.00","151.78"
