Date,Open,High,Low,Close,OI,"Trend ‌Supertrend‌ (7,3)"
Thu May 09 2024 15:05:00 GMT+0530 (India Standard Time),956.9,973.85,956.9,962.3,69375,900.47
Thu May 09 2024 15:10:00 GMT+0530 (India Standard Time),962.3,990.45,956.3,988.55,117200,903.11
Thu May 09 2024 15:15:00 GMT+0530 (India Standard Time),988.55,998.8,988.55,994,128175,929.05
Thu May 09 2024 15:20:00 GMT+0530 (India Standard Time),994,1008.45,989.8,1004,134800,935.74
Thu May 09 2024 15:25:00 GMT+0530 (India Standard Time),999.35,999.35,981.1,986.95,128825,935.74
Fri May 10 2024 09:15:00 GMT+0530 (India Standard Time),948.45,981,948.45,981,131550,935.74
Fri May 10 2024 09:20:00 GMT+0530 (India Standard Time),981,991.5,945,945,131725,935.74
Fri May 10 2024 09:25:00 GMT+0530 (India Standard Time),945,945,920,920,132075,1012.81
Fri May 10 2024 09:30:00 GMT+0530 (India Standard Time),920,930,915.4,930,131800,997.79
Fri May 10 2024 09:35:00 GMT+0530 (India Standard Time),930,937.25,920,937.25,131875,997.79
Fri May 10 2024 09:40:00 GMT+0530 (India Standard Time),937.25,937.25,900,900,131675,996.1
Fri May 10 2024 09:45:00 GMT+0530 (India Standard Time),900,903.65,894.9,894.9,132200,969.43
Fri May 10 2024 09:50:00 GMT+0530 (India Standard Time),894.9,902.15,863.7,863.9,130850,959.54
Fri May 10 2024 09:55:00 GMT+0530 (India Standard Time),863.9,867.3,846.85,846.85,130725,931.51
Fri May 10 2024 10:00:00 GMT+0530 (India Standard Time),846.85,856.1,845,856.1,129850,919.11
Fri May 10 2024 10:05:00 GMT+0530 (India Standard Time),856.1,861,844.85,856,131375,918.61
Fri May 10 2024 10:10:00 GMT+0530 (India Standard Time),856,856,843,843,132200,911.37
Fri May 10 2024 10:15:00 GMT+0530 (India Standard Time),843,856.35,835,840.75,132300,907.86
Fri May 10 2024 10:20:00 GMT+0530 (India Standard Time),840.75,877.65,840.75,877,132325,907.86
Fri May 10 2024 10:25:00 GMT+0530 (India Standard Time),877,877,866.25,873,132125,907.86
Fri May 10 2024 10:30:00 GMT+0530 (India Standard Time),873,874.8,858.05,863.8,131975,907.86
Fri May 10 2024 10:35:00 GMT+0530 (India Standard Time),863.8,870.35,860,866.35,132000,907.86
Fri May 10 2024 10:40:00 GMT+0530 (India Standard Time),866.35,881.1,866.35,875.05,132025,907.86
Fri May 10 2024 10:45:00 GMT+0530 (India Standard Time),875.05,914.2,875.05,906.8,132275,907.86
Fri May 10 2024 10:50:00 GMT+0530 (India Standard Time),903.15,950,901.15,950,132025,849.41
Fri May 10 2024 10:55:00 GMT+0530 (India Standard Time),950,950,934.2,945.15,131525,870.04
Fri May 10 2024 11:00:00 GMT+0530 (India Standard Time),945.15,951.7,935.5,938.6,131450,874.89
Fri May 10 2024 11:05:00 GMT+0530 (India Standard Time),938.6,938.6,916.2,916.2,131500,874.89
Fri May 10 2024 11:10:00 GMT+0530 (India Standard Time),916.2,920.4,910,920.4,131500,874.89
Fri May 10 2024 11:15:00 GMT+0530 (India Standard Time),920.4,921.75,900,900,131475,874.89
Fri May 10 2024 11:20:00 GMT+0530 (India Standard Time),900,900,886.6,886.6,131500,874.89
Fri May 10 2024 11:25:00 GMT+0530 (India Standard Time),886.6,888.2,880,888.2,131450,874.89
Fri May 10 2024 11:30:00 GMT+0530 (India Standard Time),888.2,900.3,888.2,900.3,131375,874.89
Fri May 10 2024 11:35:00 GMT+0530 (India Standard Time),900.3,923.95,900.3,923.95,131400,874.89
Fri May 10 2024 11:40:00 GMT+0530 (India Standard Time),923.95,924,922.5,922.5,131400,875.43
Fri May 10 2024 11:45:00 GMT+0530 (India Standard Time),922.5,925,922.3,922.3,131375,881.51
Fri May 10 2024 11:50:00 GMT+0530 (India Standard Time),922.3,950,922.3,943.6,131200,888.16
Fri May 10 2024 11:55:00 GMT+0530 (India Standard Time),943.6,955,943.6,955,131450,903.28
Fri May 10 2024 12:00:00 GMT+0530 (India Standard Time),955,955,933.75,933.75,131450,903.28
Fri May 10 2024 12:05:00 GMT+0530 (India Standard Time),933.75,945,930,930,131425,903.28
Fri May 10 2024 12:10:00 GMT+0530 (India Standard Time),930,945,930,945,131475,903.28
Fri May 10 2024 12:15:00 GMT+0530 (India Standard Time),945,955,945,952.95,131475,904.9
Fri May 10 2024 12:20:00 GMT+0530 (India Standard Time),952.95,952.95,944.8,944.8,131550,906.73
Fri May 10 2024 12:25:00 GMT+0530 (India Standard Time),944.8,975.1,944.8,968.1,131650,910.84
Fri May 10 2024 12:30:00 GMT+0530 (India Standard Time),968.1,968.1,940,940,131650,910.84
Fri May 10 2024 12:35:00 GMT+0530 (India Standard Time),940,940,940,940,131650,910.84
Fri May 10 2024 12:40:00 GMT+0530 (India Standard Time),940,951,940,950.3,131225,910.84
Fri May 10 2024 12:45:00 GMT+0530 (India Standard Time),950.3,972.4,950.3,959.55,131125,913.74
Fri May 10 2024 12:50:00 GMT+0530 (India Standard Time),959.55,959.55,959.55,959.55,131125,918.75
Fri May 10 2024 12:55:00 GMT+0530 (India Standard Time),959.55,990,959.55,979.05,131150,926.75
Fri May 10 2024 13:00:00 GMT+0530 (India Standard Time),979.05,1000,970.2,972.1,131325,931.16
Fri May 10 2024 13:05:00 GMT+0530 (India Standard Time),972.1,981.5,966.6,981.5,131250,931.16
Fri May 10 2024 13:10:00 GMT+0530 (India Standard Time),981.5,993.6,981.5,993.6,131225,937.26
Fri May 10 2024 13:15:00 GMT+0530 (India Standard Time),993.6,1007,989.55,1007,130225,947.69
Fri May 10 2024 13:20:00 GMT+0530 (India Standard Time),1007,1007,981,989.8,130225,947.69
Fri May 10 2024 13:25:00 GMT+0530 (India Standard Time),989.8,990.95,965.7,965.7,130300,947.69
Fri May 10 2024 13:30:00 GMT+0530 (India Standard Time),965.7,970.25,941.75,949.95,130350,947.69
Fri May 10 2024 13:35:00 GMT+0530 (India Standard Time),949.95,970,949.95,970,130350,947.69
Fri May 10 2024 13:40:00 GMT+0530 (India Standard Time),970,970,942.75,942.75,130325,1017.53
Fri May 10 2024 13:45:00 GMT+0530 (India Standard Time),942.75,957,942.75,951.55,130300,1011.05
Fri May 10 2024 13:50:00 GMT+0530 (India Standard Time),951.55,951.55,920,927.85,130400,1001.73
Fri May 10 2024 13:55:00 GMT+0530 (India Standard Time),927.85,932.8,918.2,918.2,131500,988.29
Fri May 10 2024 14:00:00 GMT+0530 (India Standard Time),918.2,945,917.15,945,131525,988.29
Fri May 10 2024 14:05:00 GMT+0530 (India Standard Time),945,955.45,945,955.45,131550,988.29
Fri May 10 2024 14:10:00 GMT+0530 (India Standard Time),955.45,967.6,955.45,965.4,131525,988.29
Fri May 10 2024 14:15:00 GMT+0530 (India Standard Time),965.4,970,950.55,970,132450,988.29
Fri May 10 2024 14:20:00 GMT+0530 (India Standard Time),970,970,965.05,967.5,132425,988.29
Fri May 10 2024 14:25:00 GMT+0530 (India Standard Time),967.5,975,967.5,972.55,132750,988.29
Fri May 10 2024 14:30:00 GMT+0530 (India Standard Time),972.55,972.55,957.55,965.55,133275,988.29
Fri May 10 2024 14:35:00 GMT+0530 (India Standard Time),965.55,978,965.55,978,133250,988.29
Fri May 10 2024 14:40:00 GMT+0530 (India Standard Time),978,978,956.7,956.7,133225,988.29
Fri May 10 2024 14:45:00 GMT+0530 (India Standard Time),956.7,964.6,955,964.6,133700,988.29
Fri May 10 2024 14:50:00 GMT+0530 (India Standard Time),964.6,964.6,960.75,962,134200,988.29
Fri May 10 2024 14:55:00 GMT+0530 (India Standard Time),962,962,950,952.55,134350,988.29
Fri May 10 2024 15:00:00 GMT+0530 (India Standard Time),952.55,952.55,916.5,925.55,135350,984.2
Fri May 10 2024 15:05:00 GMT+0530 (India Standard Time),925.55,925.55,908,912.5,135550,966.88
Fri May 10 2024 15:10:00 GMT+0530 (India Standard Time),912.5,940,912.5,940,134850,966.88
Fri May 10 2024 15:15:00 GMT+0530 (India Standard Time),940,950,925.7,931.25,134525,966.88
Fri May 10 2024 15:20:00 GMT+0530 (India Standard Time),931.25,932.95,931.25,932.95,134425,966.88
Fri May 10 2024 15:25:00 GMT+0530 (India Standard Time),932.95,937.1,932.55,935.65,134500,966.88
Mon May 13 2024 09:15:00 GMT+0530 (India Standard Time),999.95,1007.95,997.3,1004.6,134475,933.33
Mon May 13 2024 09:20:00 GMT+0530 (India Standard Time),1004.6,1046.75,1004.6,1042.5,133825,948.22
Mon May 13 2024 09:25:00 GMT+0530 (India Standard Time),1042.5,1042.5,1020,1039.5,133850,955.21
Mon May 13 2024 09:30:00 GMT+0530 (India Standard Time),1039.5,1087.65,1039.5,1087.65,134300,977.77
Mon May 13 2024 09:35:00 GMT+0530 (India Standard Time),1087.65,1095.55,1079.95,1095.55,134300,1007.51
Mon May 13 2024 09:40:00 GMT+0530 (India Standard Time),1095.55,1120,1095.55,1120,133925,1028.52
Mon May 13 2024 09:45:00 GMT+0530 (India Standard Time),1120,1120,1100,1100,133950,1033.5
Mon May 13 2024 09:50:00 GMT+0530 (India Standard Time),1100,1100,1100,1100,133875,1034.43
Mon May 13 2024 09:55:00 GMT+0530 (India Standard Time),1100,1135.2,1100,1134.6,133175,1046.31
Mon May 13 2024 10:00:00 GMT+0530 (India Standard Time),1134.6,1150,1134.6,1142.35,130775,1074.59
Mon May 13 2024 10:05:00 GMT+0530 (India Standard Time),1142.35,1144.05,1139.4,1139.4,130700,1081.7
Mon May 13 2024 10:10:00 GMT+0530 (India Standard Time),1139.4,1139.4,1120,1132.55,130575,1081.7
Mon May 13 2024 10:15:00 GMT+0530 (India Standard Time),1132.55,1144.45,1123.55,1144.45,130725,1081.7
Mon May 13 2024 10:20:00 GMT+0530 (India Standard Time),1144.45,1146.6,1125.1,1125.1,130650,1081.7
Mon May 13 2024 10:25:00 GMT+0530 (India Standard Time),1125.1,1125.1,1114.55,1122.35,130975,1081.7
Mon May 13 2024 10:30:00 GMT+0530 (India Standard Time),1122.35,1132.55,1122.35,1132.55,130950,1081.7
Mon May 13 2024 10:35:00 GMT+0530 (India Standard Time),1132.55,1150,1132.55,1138.2,130950,1088.44
Mon May 13 2024 10:40:00 GMT+0530 (India Standard Time),1138.2,1138.2,1138.2,1138.2,130950,1092.91
Mon May 13 2024 10:45:00 GMT+0530 (India Standard Time),1138.2,1174.8,1138.2,1156,126450,1102
Mon May 13 2024 10:50:00 GMT+0530 (India Standard Time),1150.4,1161.2,1126.35,1127.95,115075,1102
Mon May 13 2024 10:55:00 GMT+0530 (India Standard Time),1127.95,1135,1127.4,1127.4,91025,1102
Mon May 13 2024 11:00:00 GMT+0530 (India Standard Time),1127.4,1127.4,1101.85,1103.15,91025,1102
Mon May 13 2024 11:05:00 GMT+0530 (India Standard Time),1103.15,1103.15,1060,1060,90825,1150.67
Mon May 13 2024 11:10:00 GMT+0530 (India Standard Time),1060,1083.55,1060,1083.55,90850,1141.09
Mon May 13 2024 11:15:00 GMT+0530 (India Standard Time),1083.55,1083.55,1043.55,1043.55,90825,1140.11
Mon May 13 2024 11:20:00 GMT+0530 (India Standard Time),1043.55,1059.95,1041.05,1059.95,91000,1124.22
Mon May 13 2024 11:25:00 GMT+0530 (India Standard Time),1059.95,1059.95,1050,1050,90950,1122.43
Mon May 13 2024 11:30:00 GMT+0530 (India Standard Time),1050,1050,1010,1010,91025,1104.96
Mon May 13 2024 11:35:00 GMT+0530 (India Standard Time),1010,1010,992.2,1001.5,91100,1072.98
Mon May 13 2024 11:40:00 GMT+0530 (India Standard Time),1001.5,1026.55,1001.5,1026.55,91325,1072.98
Mon May 13 2024 11:45:00 GMT+0530 (India Standard Time),1026.55,1026.55,1025,1025,91450,1072.98
Mon May 13 2024 11:50:00 GMT+0530 (India Standard Time),1025,1025,1025,1025,91450,1072.98
Mon May 13 2024 11:55:00 GMT+0530 (India Standard Time),1025,1025,1020.05,1020.05,91450,1070.69
Mon May 13 2024 12:00:00 GMT+0530 (India Standard Time),1020.05,1022.8,1006.75,1012.65,91925,1062.94
Mon May 13 2024 12:05:00 GMT+0530 (India Standard Time),1012.65,1020,1008,1009.2,92075,1060.43
Mon May 13 2024 12:10:00 GMT+0530 (India Standard Time),1009.2,1026.2,1005,1013.7,92125,1060.43
Mon May 13 2024 12:15:00 GMT+0530 (India Standard Time),1013.7,1029.6,1007,1029.6,93675,1060.43
Mon May 13 2024 12:20:00 GMT+0530 (India Standard Time),1029.6,1029.6,1029.6,1029.6,93675,1060.43
Mon May 13 2024 12:25:00 GMT+0530 (India Standard Time),1029.6,1029.6,968.15,968.8,93575,1060.43
Mon May 13 2024 12:30:00 GMT+0530 (India Standard Time),968.8,968.8,954,955.55,93075,1022.8
Mon May 13 2024 12:35:00 GMT+0530 (India Standard Time),955.55,961.55,946.6,946.6,93225,1013.11
Mon May 13 2024 12:40:00 GMT+0530 (India Standard Time),946.6,959.95,940,959.95,93550,1009.13
Mon May 13 2024 12:45:00 GMT+0530 (India Standard Time),959.95,977.8,959.95,977.8,93025,1009.13
Mon May 13 2024 12:50:00 GMT+0530 (India Standard Time),977.8,985.6,977.8,985.6,93025,1009.13
Mon May 13 2024 12:55:00 GMT+0530 (India Standard Time),985.6,985.6,974.2,974.2,93125,1009.13
Mon May 13 2024 13:00:00 GMT+0530 (India Standard Time),974.2,976.85,968.75,973.3,93125,1009.13
Mon May 13 2024 13:05:00 GMT+0530 (India Standard Time),973.3,973.3,960,964.55,93175,1009.13
Mon May 13 2024 13:10:00 GMT+0530 (India Standard Time),964.55,964.55,947.75,947.75,93175,1002.66
Mon May 13 2024 13:15:00 GMT+0530 (India Standard Time),947.75,969.3,947.75,969.3,93200,1002.66
Mon May 13 2024 13:20:00 GMT+0530 (India Standard Time),969.3,1024.45,969.3,1024.45,93200,931.15
Mon May 13 2024 13:25:00 GMT+0530 (India Standard Time),1024.45,1024.45,1023.85,1023.85,93325,967.56
Mon May 13 2024 13:30:00 GMT+0530 (India Standard Time),1023.85,1043.9,1023.85,1043.9,93325,976.77
Mon May 13 2024 13:35:00 GMT+0530 (India Standard Time),1043.9,1060,1041.3,1041.3,93325,993.69
Mon May 13 2024 13:40:00 GMT+0530 (India Standard Time),1041.3,1041.3,1020,1020,93375,993.69
Mon May 13 2024 13:45:00 GMT+0530 (India Standard Time),1020,1022.4,980,980,93175,1069.04
Mon May 13 2024 13:50:00 GMT+0530 (India Standard Time),980,980,911,911,93125,1033.22
Mon May 13 2024 13:55:00 GMT+0530 (India Standard Time),911,911,875.75,875.75,92350,983.67
Mon May 13 2024 14:00:00 GMT+0530 (India Standard Time),875.75,892,872,892,92050,967.97
Mon May 13 2024 14:05:00 GMT+0530 (India Standard Time),892,900,878,900,91450,967.97
Mon May 13 2024 14:10:00 GMT+0530 (India Standard Time),900,903.3,881,885.55,90850,967.97
Mon May 13 2024 14:15:00 GMT+0530 (India Standard Time),885.55,885.55,864.65,879.8,90950,953.31
Mon May 13 2024 14:20:00 GMT+0530 (India Standard Time),879.8,905.55,879.8,905.55,91025,953.31
Mon May 13 2024 14:25:00 GMT+0530 (India Standard Time),905.55,905.55,876.75,876.75,90925,953.31
Mon May 13 2024 14:30:00 GMT+0530 (India Standard Time),876.75,876.75,860,860,90925,943.5
Mon May 13 2024 14:35:00 GMT+0530 (India Standard Time),860,870.95,860,864.3,90850,934.56
Mon May 13 2024 14:40:00 GMT+0530 (India Standard Time),864.3,872,862.2,862.2,90850,930.51
Mon May 13 2024 14:45:00 GMT+0530 (India Standard Time),862.2,862.2,862.2,862.2,90850,916.55
Mon May 13 2024 14:50:00 GMT+0530 (India Standard Time),862.2,875.1,862.2,875.1,90825,916.55
Mon May 13 2024 14:55:00 GMT+0530 (India Standard Time),875.1,875.1,855,855,90575,916.55
Mon May 13 2024 15:00:00 GMT+0530 (India Standard Time),855,918.55,855,915.05,90450,916.55
Mon May 13 2024 15:05:00 GMT+0530 (India Standard Time),915.05,915.05,885.15,885.15,90300,916.55
Mon May 13 2024 15:10:00 GMT+0530 (India Standard Time),885.15,896.5,885.15,895,90200,916.55
Mon May 13 2024 15:15:00 GMT+0530 (India Standard Time),895,895,868.65,871.4,89475,916.55
