Date,Open,High,Low,Close,Volume,OI,"Trend ‌Supertrend‌ (7,3)"
Thu May 09 2024 10:00:00 GMT+0530 (India Standard Time),80.55,84,75.95,78.95,259550,1522600,55.14
Thu May 09 2024 10:05:00 GMT+0530 (India Standard Time),79.25,79.25,73.8,76.6,180375,1538375,55.14
Thu May 09 2024 10:10:00 GMT+0530 (India Standard Time),76.6,88.2,74.65,84.5,311175,1537025,55.14
Thu May 09 2024 10:15:00 GMT+0530 (India Standard Time),85.45,89.35,80.95,86.15,199425,1525050,56.95
Thu May 09 2024 10:20:00 GMT+0530 (India Standard Time),85.9,103.15,85.75,103.15,532100,1480675,62.82
Thu May 09 2024 10:25:00 GMT+0530 (India Standard Time),103,109.8,99.35,104.35,455925,1484050,72.99
Thu May 09 2024 10:30:00 GMT+0530 (India Standard Time),104,107.65,98.7,99.05,467875,1631600,72.99
Thu May 09 2024 10:35:00 GMT+0530 (India Standard Time),99.15,105.65,96.8,103.3,353975,1759650,72.99
Thu May 09 2024 10:40:00 GMT+0530 (India Standard Time),103.1,109.25,99.35,106.95,414100,1857325,74.1
Thu May 09 2024 10:45:00 GMT+0530 (India Standard Time),106.9,111.2,103.25,106.6,408075,2044425,77.93
Thu May 09 2024 10:50:00 GMT+0530 (India Standard Time),106.9,107.9,101,105.9,278525,2134000,77.93
Thu May 09 2024 10:55:00 GMT+0530 (India Standard Time),105.9,108.3,96.05,98,227275,2156875,77.93
Thu May 09 2024 11:00:00 GMT+0530 (India Standard Time),98,103.95,98,99.7,94600,2173400,77.93
Thu May 09 2024 11:05:00 GMT+0530 (India Standard Time),99.7,108.5,99.1,103.15,108750,2179800,77.93
Thu May 09 2024 11:10:00 GMT+0530 (India Standard Time),103.2,107.2,102.05,102.8,94000,2178825,78.64
Thu May 09 2024 11:15:00 GMT+0530 (India Standard Time),102.95,107.6,100.65,106.55,127925,2192200,78.87
Thu May 09 2024 11:20:00 GMT+0530 (India Standard Time),106,109.7,102.45,107.9,169950,2218700,81.32
Thu May 09 2024 11:25:00 GMT+0530 (India Standard Time),107.9,110,101.9,106.25,110525,2222725,81.32
Thu May 09 2024 11:30:00 GMT+0530 (India Standard Time),106.25,109.4,98.9,101.75,130150,2222200,81.32
Thu May 09 2024 11:35:00 GMT+0530 (India Standard Time),101.75,102.8,93.85,95.2,120600,2236800,81.32
Thu May 09 2024 11:40:00 GMT+0530 (India Standard Time),95.6,97.9,91,95.25,129325,2246000,81.32
Thu May 09 2024 11:45:00 GMT+0530 (India Standard Time),95.25,97.2,86.75,91.6,175550,2253175,81.32
Thu May 09 2024 11:50:00 GMT+0530 (India Standard Time),91.45,95.8,86.6,94.6,126975,2266325,81.32
Thu May 09 2024 11:55:00 GMT+0530 (India Standard Time),94.6,96.75,90.2,92.15,103275,2269625,81.32
Thu May 09 2024 12:00:00 GMT+0530 (India Standard Time),92.15,95.45,90.25,93.5,48975,2262475,81.32
Thu May 09 2024 12:05:00 GMT+0530 (India Standard Time),93.55,96.5,92.85,95.9,87875,2274550,81.32
Thu May 09 2024 12:10:00 GMT+0530 (India Standard Time),96.05,98.35,90,90.9,79100,2291350,81.32
Thu May 09 2024 12:15:00 GMT+0530 (India Standard Time),90.9,92.15,80.35,83.2,236275,2296900,81.32
Thu May 09 2024 12:20:00 GMT+0530 (India Standard Time),83.2,86.5,81.1,85,116475,2298975,81.32
Thu May 09 2024 12:25:00 GMT+0530 (India Standard Time),85,95.1,85,93.55,188150,2320600,81.32
Thu May 09 2024 12:30:00 GMT+0530 (India Standard Time),93.55,98.05,90.8,90.85,153350,2346000,81.32
Thu May 09 2024 12:35:00 GMT+0530 (India Standard Time),90.75,99.65,89,99,176475,2333800,81.32
Thu May 09 2024 12:40:00 GMT+0530 (India Standard Time),99.45,103.7,96.15,101.95,292550,2354675,81.32
Thu May 09 2024 12:45:00 GMT+0530 (India Standard Time),101.95,119.3,98.85,116,623550,2292900,81.32
Thu May 09 2024 12:50:00 GMT+0530 (India Standard Time),116,131.8,113.3,129.4,710775,2328625,88.99
Thu May 09 2024 12:55:00 GMT+0530 (India Standard Time),129.5,145.85,129.5,133.7,809650,2414875,101.86
Thu May 09 2024 13:00:00 GMT+0530 (India Standard Time),133.9,134,121.55,124.55,260750,2394625,101.86
Thu May 09 2024 13:05:00 GMT+0530 (India Standard Time),123.55,129.3,119.5,126.2,242175,2414650,101.86
Thu May 09 2024 13:10:00 GMT+0530 (India Standard Time),125.45,132.45,125.3,127.25,259500,2463575,101.86
Thu May 09 2024 13:15:00 GMT+0530 (India Standard Time),127.25,132,123.7,128.7,216800,2497575,101.86
Thu May 09 2024 13:20:00 GMT+0530 (India Standard Time),128.7,145.95,127.2,145.95,570150,2513425,101.86
Thu May 09 2024 13:25:00 GMT+0530 (India Standard Time),145.4,146.8,126.2,129.7,549925,2515125,101.86
Thu May 09 2024 13:30:00 GMT+0530 (India Standard Time),129.7,133.95,124.45,130.95,377000,2631075,101.86
Thu May 09 2024 13:35:00 GMT+0530 (India Standard Time),130.95,133.4,125,125,259100,2648475,101.86
Thu May 09 2024 13:40:00 GMT+0530 (India Standard Time),125.25,129.3,119,128.65,307000,2666050,101.86
Thu May 09 2024 13:45:00 GMT+0530 (India Standard Time),128.65,128.65,110.55,116.45,494225,2662675,101.86
Thu May 09 2024 13:50:00 GMT+0530 (India Standard Time),116.45,128.5,114.1,125.35,430025,2690075,101.86
Thu May 09 2024 13:55:00 GMT+0530 (India Standard Time),125.35,131.7,122.85,125.7,480875,2777925,101.86
Thu May 09 2024 14:00:00 GMT+0530 (India Standard Time),125.5,136.75,124,125.1,430125,2735950,101.86
Thu May 09 2024 14:05:00 GMT+0530 (India Standard Time),124.75,126.15,113.65,113.65,598925,2640650,101.86
Thu May 09 2024 14:10:00 GMT+0530 (India Standard Time),113.65,121.7,113.05,117,204175,2670275,101.86
Thu May 09 2024 14:15:00 GMT+0530 (India Standard Time),117,122.8,115.65,120.85,222100,2731525,101.86
Thu May 09 2024 14:20:00 GMT+0530 (India Standard Time),121,121.7,108,119.2,376200,2738350,101.86
Thu May 09 2024 14:25:00 GMT+0530 (India Standard Time),119.4,124.6,112.55,122.25,351250,2736275,101.86
Thu May 09 2024 14:30:00 GMT+0530 (India Standard Time),122,129.15,121.5,126.7,710850,2884975,101.86
Thu May 09 2024 14:35:00 GMT+0530 (India Standard Time),126.65,139.5,123.7,135.65,943725,2880900,101.86
Thu May 09 2024 14:40:00 GMT+0530 (India Standard Time),135.8,160,131.1,154.95,1500275,3090900,103.01
Thu May 09 2024 14:45:00 GMT+0530 (India Standard Time),154.55,156.5,136.95,141.55,1007600,3129400,103.01
Thu May 09 2024 14:50:00 GMT+0530 (India Standard Time),141.1,141.4,127.1,135,1007225,3034050,103.01
Thu May 09 2024 14:55:00 GMT+0530 (India Standard Time),134.75,142.9,133,139.35,756400,3080325,103.01
Thu May 09 2024 15:00:00 GMT+0530 (India Standard Time),139.1,151.55,138.15,148.75,995275,3049400,103.01
Thu May 09 2024 15:05:00 GMT+0530 (India Standard Time),149.05,157.7,146.6,151.45,828725,3053100,111.25
Thu May 09 2024 15:10:00 GMT+0530 (India Standard Time),151.7,167.55,148,165.5,930275,3196025,114.34
Thu May 09 2024 15:15:00 GMT+0530 (India Standard Time),166.25,176,163.35,171,1230925,3180650,127.02
Thu May 09 2024 15:20:00 GMT+0530 (India Standard Time),171,178.4,166.5,172.6,792675,3094900,130.79
Thu May 09 2024 15:25:00 GMT+0530 (India Standard Time),172.4,173.35,162.2,170,1165550,3135950,130.79
Fri May 10 2024 09:15:00 GMT+0530 (India Standard Time),159.9,167.95,142.2,161.3,3589100,3673925,130.79
Fri May 10 2024 09:20:00 GMT+0530 (India Standard Time),161.3,169.75,142.1,142.1,3437825,4117400,130.79
Fri May 10 2024 09:25:00 GMT+0530 (India Standard Time),142.1,142.6,131.1,131.9,2258125,4312300,130.79
Fri May 10 2024 09:30:00 GMT+0530 (India Standard Time),131.9,138,127.55,137.2,2262475,4815025,130.79
Fri May 10 2024 09:35:00 GMT+0530 (India Standard Time),137.75,145.2,130.1,143,2180775,4981350,130.79
Fri May 10 2024 09:40:00 GMT+0530 (India Standard Time),143,148.1,121.05,122.15,2522825,5048100,178.88
Fri May 10 2024 09:45:00 GMT+0530 (India Standard Time),122.15,126,118.75,121.55,1573250,5148225,169.62
Fri May 10 2024 09:50:00 GMT+0530 (India Standard Time),121.55,125.65,105.9,107.3,2228575,5285850,164.74
Fri May 10 2024 09:55:00 GMT+0530 (India Standard Time),107.3,110,98.95,100.85,1978800,5431750,151.18
Fri May 10 2024 10:00:00 GMT+0530 (India Standard Time),100.85,105.6,97.2,102.9,1617600,5334125,145.03
