Date,Open,High,Low,Close,Volume,OI,"Trend ‌Supertrend‌ (7,3)"
Thu May 09 2024 10:00:00 GMT+0530 (India Standard Time),94.3,98,90,94,48025,175225,65.48
Thu May 09 2024 10:05:00 GMT+0530 (India Standard Time),92.85,93,87,90.4,20175,176350,65.48
Thu May 09 2024 10:10:00 GMT+0530 (India Standard Time),90.4,103.95,87.85,99,85500,179125,65.48
Thu May 09 2024 10:15:00 GMT+0530 (India Standard Time),100.05,104.5,95,100.65,106450,154075,68.02
Thu May 09 2024 10:20:00 GMT+0530 (India Standard Time),100.65,120,100.35,120,255975,151375,74.55
Thu May 09 2024 10:25:00 GMT+0530 (India Standard Time),120,127.45,116,120.65,97975,150700,86.29
Thu May 09 2024 10:30:00 GMT+0530 (India Standard Time),120.65,124.15,114.85,115.15,34825,167775,86.29
Thu May 09 2024 10:35:00 GMT+0530 (India Standard Time),115.15,121.75,112.75,119.55,31400,173300,86.29
Thu May 09 2024 10:40:00 GMT+0530 (India Standard Time),119.55,125,116,123.45,41600,176675,88.09
Thu May 09 2024 10:45:00 GMT+0530 (India Standard Time),123.15,128,119.35,123.4,29675,177750,92.19
Thu May 09 2024 10:50:00 GMT+0530 (India Standard Time),123.4,124.15,117,122.2,25850,173850,92.19
Thu May 09 2024 10:55:00 GMT+0530 (India Standard Time),122.2,125,112,113.7,36975,173200,92.19
Thu May 09 2024 11:00:00 GMT+0530 (India Standard Time),113.7,120.35,113.7,115.95,16175,176500,92.19
Thu May 09 2024 11:05:00 GMT+0530 (India Standard Time),115.95,125.35,115.95,118.65,31700,173475,92.19
Thu May 09 2024 11:10:00 GMT+0530 (India Standard Time),118.65,124,118.65,119.65,23650,171575,93.76
Thu May 09 2024 11:15:00 GMT+0530 (India Standard Time),119.65,124.6,117.15,124.5,20075,178150,94.05
Thu May 09 2024 11:20:00 GMT+0530 (India Standard Time),124.5,127.2,119.35,125.7,20400,179150,96.92
Thu May 09 2024 11:25:00 GMT+0530 (India Standard Time),124.9,127.15,118.75,122.2,21700,180100,96.92
Thu May 09 2024 11:30:00 GMT+0530 (India Standard Time),122.2,127.05,115.3,118,25325,181550,96.92
Thu May 09 2024 11:35:00 GMT+0530 (India Standard Time),118,119.25,109.9,111.2,26725,181700,96.92
Thu May 09 2024 11:40:00 GMT+0530 (India Standard Time),111.2,113.65,106.25,111.5,16075,182850,96.92
Thu May 09 2024 11:45:00 GMT+0530 (India Standard Time),111,113.45,101.25,107,39525,181475,96.92
Thu May 09 2024 11:50:00 GMT+0530 (India Standard Time),107,111.45,101.4,110.7,24375,180600,96.92
Thu May 09 2024 11:55:00 GMT+0530 (India Standard Time),110.7,112.75,105.75,107.45,29225,183850,96.92
Thu May 09 2024 12:00:00 GMT+0530 (India Standard Time),107.45,111.25,105.75,109.65,10625,191725,96.92
Thu May 09 2024 12:05:00 GMT+0530 (India Standard Time),109.65,112.55,108.75,111.75,13325,190600,96.92
Thu May 09 2024 12:10:00 GMT+0530 (India Standard Time),111.75,114.85,105.35,106.45,15650,191500,96.92
Thu May 09 2024 12:15:00 GMT+0530 (India Standard Time),106.45,107.65,94.2,97.65,60525,182150,96.92
Thu May 09 2024 12:20:00 GMT+0530 (India Standard Time),97.65,101,95.65,99.6,15075,183800,96.92
