Date,Open,High,Low,Close,Volume,OI,"Trend ‌Supertrend‌ (7,3)"
Thu May 09 2024 10:00:00 GMT+0530 (India Standard Time),58.15,60,54.95,56.65,51825,511075,38.59
Thu May 09 2024 10:05:00 GMT+0530 (India Standard Time),56.65,56.85,52.75,54.6,45800,527525,38.59
Thu May 09 2024 10:10:00 GMT+0530 (India Standard Time),54.6,63.75,53.65,61.15,160350,521425,38.59
Thu May 09 2024 10:15:00 GMT+0530 (India Standard Time),61.15,64.5,58,62.35,121825,522675,40.41
Thu May 09 2024 10:20:00 GMT+0530 (India Standard Time),62.35,75.5,62.1,74.95,232075,506725,45.2
Thu May 09 2024 10:25:00 GMT+0530 (India Standard Time),75.75,80.85,72.7,76.5,166675,504500,53.05
Thu May 09 2024 10:30:00 GMT+0530 (India Standard Time),76.55,78.65,71.85,72.15,79550,525125,53.05
Thu May 09 2024 10:35:00 GMT+0530 (India Standard Time),72.7,77.4,70.15,75.45,99125,546325,53.05
Thu May 09 2024 10:40:00 GMT+0530 (India Standard Time),75.45,80.5,72.1,77.85,68800,553425,53.05
Thu May 09 2024 10:45:00 GMT+0530 (India Standard Time),77.85,81.5,75.15,77.7,110150,558400,55.59
Thu May 09 2024 10:50:00 GMT+0530 (India Standard Time),77.7,78.7,73.05,76.9,65250,568175,55.59
Thu May 09 2024 10:55:00 GMT+0530 (India Standard Time),76.9,79,69.2,70.8,69725,569475,55.59
Thu May 09 2024 11:00:00 GMT+0530 (India Standard Time),70.8,75.4,70.65,71.65,44725,593850,55.59
Thu May 09 2024 11:05:00 GMT+0530 (India Standard Time),72.1,78.3,72.1,74.2,56825,609575,55.59
Thu May 09 2024 11:10:00 GMT+0530 (India Standard Time),74.2,77.4,73.35,74.15,27125,612600,55.59
Thu May 09 2024 11:15:00 GMT+0530 (India Standard Time),74.15,77.5,72.55,77.25,46050,608950,55.64
Thu May 09 2024 11:20:00 GMT+0530 (India Standard Time),77.25,79,73.85,78,67200,631300,57.6
Thu May 09 2024 11:25:00 GMT+0530 (India Standard Time),77.6,79.35,73.45,76.2,38525,633225,57.74
Thu May 09 2024 11:30:00 GMT+0530 (India Standard Time),76.2,78.75,71.3,73.3,78075,633100,57.74
Thu May 09 2024 11:35:00 GMT+0530 (India Standard Time),73.5,74.05,67.55,68.45,62525,630850,57.74
Thu May 09 2024 11:40:00 GMT+0530 (India Standard Time),68.3,70.35,65.25,68.85,57500,632250,57.74
Thu May 09 2024 11:45:00 GMT+0530 (India Standard Time),68.75,70.05,61.8,65,61150,639875,57.74
Thu May 09 2024 11:50:00 GMT+0530 (India Standard Time),65.1,68.3,61.35,67.5,51825,642000,57.74
Thu May 09 2024 11:55:00 GMT+0530 (India Standard Time),67.5,68.85,64.3,65.75,103725,696925,57.74
Thu May 09 2024 12:00:00 GMT+0530 (India Standard Time),65.75,68,64.4,67.2,27850,705600,57.74
Thu May 09 2024 12:05:00 GMT+0530 (India Standard Time),67.2,69.2,66.5,68.8,26525,702800,57.74
Thu May 09 2024 12:10:00 GMT+0530 (India Standard Time),68.8,70.5,64,64.5,42850,703950,57.74
Thu May 09 2024 12:15:00 GMT+0530 (India Standard Time),64.5,65.5,56.75,59.1,138200,693975,57.74
Thu May 09 2024 12:20:00 GMT+0530 (India Standard Time),59.1,61.6,57.4,60.65,43800,654750,57.74
Thu May 09 2024 12:25:00 GMT+0530 (India Standard Time),60.65,68.05,60.65,67,54175,649200,57.74
Thu May 09 2024 12:30:00 GMT+0530 (India Standard Time),67,70.05,64.95,64.95,63525,642625,57.74
Thu May 09 2024 12:35:00 GMT+0530 (India Standard Time),64.8,71.4,63.45,70.85,56525,635950,57.74
Thu May 09 2024 12:40:00 GMT+0530 (India Standard Time),71.2,74.55,68.5,73.4,82200,643200,57.74
Thu May 09 2024 12:45:00 GMT+0530 (India Standard Time),73.4,86.45,71.1,84.05,355125,694100,57.74
Thu May 09 2024 12:50:00 GMT+0530 (India Standard Time),84.05,96.1,81.8,94.3,306850,736400,63.61
Thu May 09 2024 12:55:00 GMT+0530 (India Standard Time),94.05,106.9,93.7,98.45,379450,782725,72.92
Thu May 09 2024 13:00:00 GMT+0530 (India Standard Time),98.6,99,88.5,90.5,160275,785600,72.92
Thu May 09 2024 13:05:00 GMT+0530 (India Standard Time),90.3,94.4,87,92.15,106675,790950,72.92
Thu May 09 2024 13:10:00 GMT+0530 (India Standard Time),92.1,97.8,91.9,93.5,128400,809050,72.92
Thu May 09 2024 13:15:00 GMT+0530 (India Standard Time),93.5,97.4,90.65,94.9,84200,797000,72.92
Thu May 09 2024 13:20:00 GMT+0530 (India Standard Time),94.9,109,93.4,108.5,242700,808300,73.08
Thu May 09 2024 13:25:00 GMT+0530 (India Standard Time),108.45,109.35,92.5,95.1,159750,795075,73.08
Thu May 09 2024 13:30:00 GMT+0530 (India Standard Time),94.95,98.65,91.1,96.45,94075,810975,73.08
Thu May 09 2024 13:35:00 GMT+0530 (India Standard Time),96.35,98.65,91.7,91.8,69275,813750,73.08
Thu May 09 2024 13:40:00 GMT+0530 (India Standard Time),91.8,95,87,94.7,108025,832725,73.08
Thu May 09 2024 13:45:00 GMT+0530 (India Standard Time),94.7,94.7,80.3,85.05,136825,817400,73.08
Thu May 09 2024 13:50:00 GMT+0530 (India Standard Time),85.05,94.5,83.2,91.95,130050,808625,73.08
Thu May 09 2024 13:55:00 GMT+0530 (India Standard Time),91.95,97,89.8,92.1,143150,829025,73.08
Thu May 09 2024 14:00:00 GMT+0530 (India Standard Time),91.8,101.2,90.7,91.35,160825,814200,73.08
Thu May 09 2024 14:05:00 GMT+0530 (India Standard Time),91.35,92.2,82.05,82.35,137200,814675,73.08
Thu May 09 2024 14:10:00 GMT+0530 (India Standard Time),82.15,88.4,81.8,84.85,70450,808675,73.08
Thu May 09 2024 14:15:00 GMT+0530 (India Standard Time),84.85,89.05,83.7,88.15,70775,820250,73.08
Thu May 09 2024 14:20:00 GMT+0530 (India Standard Time),88.15,88.6,77.6,86.6,114750,823550,73.08
Thu May 09 2024 14:25:00 GMT+0530 (India Standard Time),86.6,90.7,81.05,88.9,104150,835900,73.08
Thu May 09 2024 14:30:00 GMT+0530 (India Standard Time),88.9,94.25,88.3,92.1,188725,873825,73.08
Thu May 09 2024 14:35:00 GMT+0530 (India Standard Time),91.65,102.95,89.95,100.15,331175,870800,73.08
Thu May 09 2024 14:40:00 GMT+0530 (India Standard Time),99.55,120.7,95.85,115.75,497900,863125,73.5
Thu May 09 2024 14:45:00 GMT+0530 (India Standard Time),115.85,116.65,100.7,104.7,311825,863275,73.5
Thu May 09 2024 14:50:00 GMT+0530 (India Standard Time),104.7,104.7,92.5,97.65,262075,881000,73.5
Thu May 09 2024 14:55:00 GMT+0530 (India Standard Time),97.7,104.5,96.25,102,274925,948850,73.5
Thu May 09 2024 15:00:00 GMT+0530 (India Standard Time),101.85,112.25,100.75,109.55,378175,1008875,73.5
Thu May 09 2024 15:05:00 GMT+0530 (India Standard Time),109.75,117.4,108.3,112.6,370700,997350,79.06
Thu May 09 2024 15:10:00 GMT+0530 (India Standard Time),112.65,126,110,124.6,402450,1048650,82.18
Thu May 09 2024 15:15:00 GMT+0530 (India Standard Time),124.95,133.8,122.7,128.5,886150,1164675,92.79
Thu May 09 2024 15:20:00 GMT+0530 (India Standard Time),128.8,135,124.5,130.3,708675,1234300,94.85
Thu May 09 2024 15:25:00 GMT+0530 (India Standard Time),130.35,130.65,121.75,127.95,803175,1508425,94.85
Fri May 10 2024 09:15:00 GMT+0530 (India Standard Time),115,123.55,104.65,121,1810400,1761100,94.85
Fri May 10 2024 09:20:00 GMT+0530 (India Standard Time),120.7,128.2,105.9,105.9,1702600,2015375,94.85
Fri May 10 2024 09:25:00 GMT+0530 (India Standard Time),105.8,106.25,96.65,96.65,1216825,2143050,94.85
Fri May 10 2024 09:30:00 GMT+0530 (India Standard Time),97.1,102.15,93.75,101.9,1008750,2291925,94.85
Fri May 10 2024 09:35:00 GMT+0530 (India Standard Time),101.9,108.15,95.95,106.95,946575,2389450,94.85
Fri May 10 2024 09:40:00 GMT+0530 (India Standard Time),106.7,110.55,88.45,89.8,1088250,2394800,135.24
Fri May 10 2024 09:45:00 GMT+0530 (India Standard Time),89.65,92.15,86.7,88.7,764650,2423700,128.05
Fri May 10 2024 09:50:00 GMT+0530 (India Standard Time),88.7,92.2,76.4,77.55,1074925,2401350,124.18
Fri May 10 2024 09:55:00 GMT+0530 (India Standard Time),77.4,79.7,71,72.5,805675,2376150,113.26
Fri May 10 2024 10:00:00 GMT+0530 (India Standard Time),72.5,76.15,69.6,74.05,899450,2513700,108.18
Fri May 10 2024 10:05:00 GMT+0530 (India Standard Time),74.05,75.85,68,73.3,721050,2550175,105.55
Fri May 10 2024 10:10:00 GMT+0530 (India Standard Time),73.3,75.1,69.85,72.3,422500,2586200,103.55
Fri May 10 2024 10:15:00 GMT+0530 (India Standard Time),72.3,73.8,64.5,68.95,673325,2682650,99.77
Fri May 10 2024 10:20:00 GMT+0530 (India Standard Time),68.95,79.4,68.75,76.05,1054450,2752075,99.77
Fri May 10 2024 10:25:00 GMT+0530 (India Standard Time),76.05,80.8,72.1,78,606700,2733350,99.77
Fri May 10 2024 10:30:00 GMT+0530 (India Standard Time),78,82,71.05,73.1,894800,2580500,99.77
Fri May 10 2024 10:35:00 GMT+0530 (India Standard Time),73.3,76.9,70.7,75.55,403100,2581175,99.77
Fri May 10 2024 10:40:00 GMT+0530 (India Standard Time),75.6,79.45,74.8,78.35,320825,2615600,99.77
Fri May 10 2024 10:45:00 GMT+0530 (India Standard Time),78.05,89.65,77.7,87.1,1199875,2591100,99.77
Fri May 10 2024 10:50:00 GMT+0530 (India Standard Time),87.1,105.85,84.85,102.45,1815125,2674050,62.35
Fri May 10 2024 10:55:00 GMT+0530 (India Standard Time),102.45,105.95,94.45,100.1,1066225,2707350,66.98
Fri May 10 2024 11:00:00 GMT+0530 (India Standard Time),100.1,106.55,97.4,98.85,902500,2747525,69.58
Fri May 10 2024 11:05:00 GMT+0530 (India Standard Time),98.85,98.85,86.5,90.6,1065200,2793800,69.58
Fri May 10 2024 11:10:00 GMT+0530 (India Standard Time),90.85,93.05,86,91.45,427625,2780425,69.58
Fri May 10 2024 11:15:00 GMT+0530 (India Standard Time),91.6,92.95,79.75,80.7,781850,2822725,69.58
Fri May 10 2024 11:20:00 GMT+0530 (India Standard Time),80.7,84.2,76.05,76.8,738150,2720900,69.58
Fri May 10 2024 11:25:00 GMT+0530 (India Standard Time),76.8,80.55,74.85,79.75,614725,2737850,69.58
Fri May 10 2024 11:30:00 GMT+0530 (India Standard Time),79.75,84.95,79.5,84.9,499725,2803750,69.58
Fri May 10 2024 11:35:00 GMT+0530 (India Standard Time),84.95,91,82.55,87.7,806525,2808950,69.58
Fri May 10 2024 11:40:00 GMT+0530 (India Standard Time),87.7,93.45,84.2,87.2,745050,2827000,69.58
Fri May 10 2024 11:45:00 GMT+0530 (India Standard Time),87.05,96.9,86.1,94.8,679775,2807925,69.58
Fri May 10 2024 11:50:00 GMT+0530 (India Standard Time),94.8,99.75,91.65,96.55,890500,2837150,69.58
Fri May 10 2024 11:55:00 GMT+0530 (India Standard Time),96.55,101.85,95.5,96.35,806775,2848025,72.41
Fri May 10 2024 12:00:00 GMT+0530 (India Standard Time),96.35,96.5,89.2,95.3,741250,2830525,72.41
Fri May 10 2024 12:05:00 GMT+0530 (India Standard Time),95.3,99.15,88.35,90.25,562350,2833850,72.41
Fri May 10 2024 12:10:00 GMT+0530 (India Standard Time),90.1,96.75,87.15,95.35,583425,2845950,72.41
Fri May 10 2024 12:15:00 GMT+0530 (India Standard Time),95.35,103.15,92.2,98.1,758525,2849025,72.41
Fri May 10 2024 12:20:00 GMT+0530 (India Standard Time),98.1,98.75,91.9,96.7,488575,2894375,72.41
Fri May 10 2024 12:25:00 GMT+0530 (India Standard Time),96.7,109.95,95.65,98.9,1348150,2870675,73.75
Fri May 10 2024 12:30:00 GMT+0530 (India Standard Time),98.9,98.9,91.25,95.5,742550,2876400,73.75
Fri May 10 2024 12:35:00 GMT+0530 (India Standard Time),95.8,97.5,90,96.9,621025,2907025,73.75
Fri May 10 2024 12:40:00 GMT+0530 (India Standard Time),97,99.25,93.3,98.55,551425,2925750,73.75
Fri May 10 2024 12:45:00 GMT+0530 (India Standard Time),98.55,106.85,97.85,101.55,938275,2907525,76.2
Fri May 10 2024 12:50:00 GMT+0530 (India Standard Time),101.8,107.4,98.7,106.25,712725,2929575,76.91
Fri May 10 2024 12:55:00 GMT+0530 (India Standard Time),106.25,114.05,100.55,112.1,1363300,2907925,79.11
Fri May 10 2024 13:00:00 GMT+0530 (India Standard Time),112.2,118.75,103.1,108.75,1595075,2945775,80.05
Fri May 10 2024 13:05:00 GMT+0530 (India Standard Time),108.85,111.35,102.6,111.35,866925,2982675,80.05
Fri May 10 2024 13:10:00 GMT+0530 (India Standard Time),111.1,116.4,107.75,113.9,907500,2973975,82.47
Fri May 10 2024 13:15:00 GMT+0530 (India Standard Time),114.1,118.9,108.25,116.95,1239625,3020225,83.64
Fri May 10 2024 13:20:00 GMT+0530 (India Standard Time),116.95,117.8,105.7,112.15,768275,3115525,83.64
Fri May 10 2024 13:25:00 GMT+0530 (India Standard Time),112.5,113.35,99.6,101.85,1061100,3127575,83.64
Fri May 10 2024 13:30:00 GMT+0530 (India Standard Time),102,103.5,87.2,96.9,1169300,2788825,83.64
Fri May 10 2024 13:35:00 GMT+0530 (India Standard Time),97,102.25,95.25,97.95,642050,2804575,83.64
Fri May 10 2024 13:40:00 GMT+0530 (India Standard Time),97.95,98.15,90.7,92.6,472200,2846925,83.64
Fri May 10 2024 13:45:00 GMT+0530 (India Standard Time),92.75,98.4,91.45,92.5,725300,2901425,83.64
Fri May 10 2024 13:50:00 GMT+0530 (India Standard Time),92.5,92.9,82.4,86,812475,2884350,83.64
Fri May 10 2024 13:55:00 GMT+0530 (India Standard Time),86,88.5,81,81.75,474325,2907000,113.69
Fri May 10 2024 14:00:00 GMT+0530 (India Standard Time),81.55,92.55,79.9,92.25,701175,2916250,113.69
Fri May 10 2024 14:05:00 GMT+0530 (India Standard Time),92.3,95.25,88.75,92.4,681425,2925000,113.69
Fri May 10 2024 14:10:00 GMT+0530 (India Standard Time),92.4,99.65,91.45,95.75,637200,2931750,113.69
Fri May 10 2024 14:15:00 GMT+0530 (India Standard Time),96,99.6,90.9,96,732725,2940400,113.69
Fri May 10 2024 14:20:00 GMT+0530 (India Standard Time),96,100.7,95,97.85,530275,2948025,113.69
Fri May 10 2024 14:25:00 GMT+0530 (India Standard Time),97.85,100.8,96.85,100.4,540225,2915900,113.69
Fri May 10 2024 14:30:00 GMT+0530 (India Standard Time),100.3,100.4,90.95,97.7,606100,2919650,113.69
Fri May 10 2024 14:35:00 GMT+0530 (India Standard Time),97.95,103.05,96.4,100,839175,2917375,113.69
Fri May 10 2024 14:40:00 GMT+0530 (India Standard Time),100,101.4,92.15,93.15,564800,2914450,113.69
Fri May 10 2024 14:45:00 GMT+0530 (India Standard Time),93.15,97.15,86.5,94.9,803200,2878225,113.69
Fri May 10 2024 14:50:00 GMT+0530 (India Standard Time),94.9,96.85,92.35,93.85,422675,2838175,113.69
Fri May 10 2024 14:55:00 GMT+0530 (India Standard Time),93.85,95.65,89.4,91.35,445800,2798650,113.69
Fri May 10 2024 15:00:00 GMT+0530 (India Standard Time),91.45,92.2,78.15,80.55,1060175,2780375,111.08
Fri May 10 2024 15:05:00 GMT+0530 (India Standard Time),80.75,83,73.85,76.55,878450,2753875,104.55
Fri May 10 2024 15:10:00 GMT+0530 (India Standard Time),76.55,83.5,75.6,83.5,727225,2693100,104.55
Fri May 10 2024 15:15:00 GMT+0530 (India Standard Time),83.5,87.95,78.35,81.15,692575,2604375,104.55
Fri May 10 2024 15:20:00 GMT+0530 (India Standard Time),81.3,83.05,79.85,80,524900,2572975,104.55
Fri May 10 2024 15:25:00 GMT+0530 (India Standard Time),80.55,83.65,80.55,81,760675,2351775,104.1
Mon May 13 2024 09:15:00 GMT+0530 (India Standard Time),100.05,111.4,73.55,110.4,2594725,2438350,75.6
Mon May 13 2024 09:20:00 GMT+0530 (India Standard Time),110.4,131,105.8,126.15,3827225,2729750,77.53
Mon May 13 2024 09:25:00 GMT+0530 (India Standard Time),126.15,128.1,112.6,122.25,2353550,2957875,78.68
Mon May 13 2024 09:30:00 GMT+0530 (India Standard Time),122.25,151,116.8,149.2,5187150,3407950,83.52
Mon May 13 2024 09:35:00 GMT+0530 (India Standard Time),149.2,157.95,139.65,155.55,4239225,3568600,97.78
Mon May 13 2024 09:40:00 GMT+0530 (India Standard Time),155.45,165.65,143.7,162.85,4607550,3483075,101.54
Mon May 13 2024 09:45:00 GMT+0530 (India Standard Time),162.15,163,146,146.75,2473900,3424800,101.67
Mon May 13 2024 09:50:00 GMT+0530 (India Standard Time),146.8,159.9,146.6,158.35,1857750,3439850,102.26
Mon May 13 2024 09:55:00 GMT+0530 (India Standard Time),158.35,169,152.9,165.5,2787750,3392100,110.35
Mon May 13 2024 10:00:00 GMT+0530 (India Standard Time),165.05,181.75,163.25,172.3,3326075,3144275,121.2
Mon May 13 2024 10:05:00 GMT+0530 (India Standard Time),172.45,176.65,157.3,158.3,1310950,3052325,121.2
Mon May 13 2024 10:10:00 GMT+0530 (India Standard Time),158.3,167.9,146.3,150.4,1583425,3025025,121.2
Mon May 13 2024 10:15:00 GMT+0530 (India Standard Time),150.4,168.75,150.4,162.65,1695850,3071950,121.2
Mon May 13 2024 10:20:00 GMT+0530 (India Standard Time),162.65,171.7,155.75,158.8,1411725,3057000,121.2
Mon May 13 2024 10:25:00 GMT+0530 (India Standard Time),158.8,160.4,146.9,154.75,1349450,3082375,121.2
Mon May 13 2024 10:30:00 GMT+0530 (India Standard Time),154.85,165.8,151.25,162.55,1231875,3130275,121.2
Mon May 13 2024 10:35:00 GMT+0530 (India Standard Time),162.55,175.2,161.6,173.85,1484825,3009425,121.2
Mon May 13 2024 10:40:00 GMT+0530 (India Standard Time),173.85,185,170.5,178.75,2102450,2889675,129.55
Mon May 13 2024 10:45:00 GMT+0530 (India Standard Time),178.75,188,164.85,165.75,1917200,2683375,129.55
Mon May 13 2024 10:50:00 GMT+0530 (India Standard Time),165.75,173,149.35,150.1,1510450,2940275,129.55
Mon May 13 2024 10:55:00 GMT+0530 (India Standard Time),149.3,158.45,145.95,148.7,1644625,3247475,129.55
Mon May 13 2024 11:00:00 GMT+0530 (India Standard Time),149.2,153.25,136.3,140.35,1751525,3172850,129.55
Mon May 13 2024 11:05:00 GMT+0530 (India Standard Time),140.35,142.3,120.75,124.75,3063725,3261800,184.96
Mon May 13 2024 11:10:00 GMT+0530 (India Standard Time),124.75,132.4,123.75,129.6,1347300,3488675,177.59
Mon May 13 2024 11:15:00 GMT+0530 (India Standard Time),129.6,129.6,105.25,110.75,2854400,3503550,170.3
Mon May 13 2024 11:20:00 GMT+0530 (India Standard Time),110.55,119.9,105.75,118.95,2073225,3733200,164.21
Mon May 13 2024 11:25:00 GMT+0530 (India Standard Time),118.95,120.4,111.55,114,1388475,3809450,163.81
Mon May 13 2024 11:30:00 GMT+0530 (India Standard Time),114,116.85,89.7,92.2,2619100,3886550,155.91
Mon May 13 2024 11:35:00 GMT+0530 (India Standard Time),92.2,97.45,87.4,92.85,2232850,3932775,141.85
Mon May 13 2024 11:40:00 GMT+0530 (India Standard Time),92.85,102.35,92.5,102.35,1230050,3989650,141.85
Mon May 13 2024 11:45:00 GMT+0530 (India Standard Time),102.35,111.6,99,109.6,1971925,3753225,141.85
Mon May 13 2024 11:50:00 GMT+0530 (India Standard Time),109.6,109.6,95.65,99.45,1409850,3849275,141.85
Mon May 13 2024 11:55:00 GMT+0530 (India Standard Time),99,105.75,98.55,103.2,922375,3928575,141.85
Mon May 13 2024 12:00:00 GMT+0530 (India Standard Time),103.2,103.7,94.65,97,1049750,4006975,138.64
Mon May 13 2024 12:05:00 GMT+0530 (India Standard Time),97,102.8,93.95,102.2,1337350,4151200,135.99
Mon May 13 2024 12:10:00 GMT+0530 (India Standard Time),102.2,104.6,93.4,96.1,1070175,4137175,135.99
Mon May 13 2024 12:15:00 GMT+0530 (India Standard Time),96.15,104.8,90.75,99.65,1362550,4205600,135.55
Mon May 13 2024 12:20:00 GMT+0530 (India Standard Time),99.65,101.6,92.45,93.8,921625,4286850,133.32
Mon May 13 2024 12:25:00 GMT+0530 (India Standard Time),93.8,95.8,72.4,73.05,2843150,4147850,125.24
